0
//Cycle
7
end

1
// ----------------------------------------------------------------------------------
//	State	Day	Hour	Minute
// ----------------------------------------------------------------------------------
	1	0	00	00	//Announce for Castle Siege
	2	6	00	00	//Idle State
	3	6	00	01	//Sign of Lord Register
	4	6	12	00	//Idle State
	5	6	12	01	//Attack notification for guilds
	6	6	12	10	//Reading status
	7	6	19	30	//Start of event Castle Sieg
	8	6	19	42	//End   of event Castle Siege
	9	7	00	00	//End of cycle (backs to state 1)

end

2
//Monster   Index   Side   DBSave   DFLevel   RGLevel   MaxLife   X      Y      TX      TY      Dir
283	    1	    1	   1	    0	      0	        800000	  94     227	-1	-1      1
283	    2	    1	   1	    0	      0	        800000	  94     182	-1	-1      1
283	    3	    1	   1	    0	      0	        800000	  82     130	-1	-1      1
283	    4	    1	   1	    0	      0	        800000	  107	 130	-1	-1      1
277	    1	    1	   1	    0	      0	        1000000	  93	 204	-1	-1      1
277	    2	    1	   1	    0	      0	        1000000	  81	 161	-1	-1      1
277	    3	    1	   1	    0	      0	        1000000	  107	 161	-1	-1      1
277	    4	    1	   1	    0	      0	        1000000	  67	 114	-1	-1      1
277	    5	    1	   1	    0	      0	        1000000	  93	 114	-1	-1      1
277	    6	    1	   1	    0	      0	        1000000	  119	 114	-1	-1      1
288	    1	    0	   1	    0	      0	        1600000	  75	 130	-1	-1      1
288	    2	    0	   1	    0	      0	        1600000	  88	 130	-1	-1      1
288	    3	    0	   1	    0	      0	        1600000	  99	 130	-1	-1      1
288	    4	    0	   1	    0	      0	        1600000	  114	 130	-1	-1      1
288	    5	    0	   1	    0	      0	        1600000	  94	 151	-1	-1      1
288	    6	    0	   1	    0	      0	        1600000	  88	 182	-1	-1      1
288	    7	    0	   1	    0	      0	        1600000	  100	 182	-1	-1      1
288	    8	    0	   1	    0	      0	        1600000	  94	 221	-1	-1      1
288	    9	    0	   1	    0	      0	        1600000	  94	 233	-1	-1      1
215	    1	    0	   1	    0	      0	        20000	  94	 242	-1	-1      1
222	    1	    0	   1	    0	      0	        20000	  80	 188	-1	-1      1
222	    2	    0	   1	    0	      0	        20000	  105	 188	-1	-1      1
221	    1	    0	   2	    0	      0	        20000	  63	 19	-1	-1      5
221	    2	    0	   2	    0	      0	        20000	  119	 19	-1	-1      5
end
