3
//Index   DropRate
//0         10000
end

4
//Index   Section   SectionRate   MoneyAmount   OptionValue   DW   DK   FE   MG   DL   SU   RF   GL
//0         5         1000         0             0             1    1    1    1    1    1    1    1
//0         6         9000         0             0             1    1    1    1    1    1    1    1
end

5
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   Comment
8403      0       0       *         *         *         *         *         *         *         0          // Evolution Stone
end

6
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   Comment
8192       1       0       *         *         *         *         *         *         *         0          // Pinocchio
8194       1       0       *         *         *         *         *         *         *         0          // Geppetto  
8196       1       0       *         *         *         *         *         *         *         0          // Blue Fairy 
8198       1       0       *         *         *         *         *         *         *         0          // Papa Bear  
8200       1       0       *         *         *         *         *         *         *         0          // Baby Bear  
8202       1       0       *         *         *         *         *         *         *         0          // Mama Bear
8204       1       0       *         *         *         *         *         *         *         0          // Woody 
8206       1       0       *         *         *         *         *         *         *         0          // Treasure Chest 
8208       1       0       *         *         *         *         *         *         *         0          // Treasure Hunter
8210       1       0       *         *         *         *         *         *         *         0          // Tree Elf
8212       1       0       *         *         *         *         *         *         *         0          // Grass Fairy
8214       1       0       *         *         *         *         *         *         *         0          // Leaf Mage 
8216       1       0       *         *         *         *         *         *         *         0          // Samba Girl
8218       1       0       *         *         *         *         *         *         *         0          // Rio
8220       1       0       *         *         *         *         *         *         *         0          // Bateria
8222       1       0       *         *         *         *         *         *         *         0          // Tiger
8224       1       0       *         *         *         *         *         *         *         0          // Libra
8226       1       0       *         *         *         *         *         *         *         0          // Scorpio
8228       1       0       *         *         *         *         *         *         *         0          // Meowstron
8230       1       0       *         *         *         *         *         *         *         0          // Dotto  	   
8231       1       0       *         *         *         *         *         *         *         0          // Chicken
8233       1       0       *         *         *         *         *         *         *         0          // Chick
8235       1       0       *         *         *         *         *         *         *         0          // Angry Rooster
8237       1       0       *         *         *         *         *         *         *         0          // Lion Mask
8404       1       0       *         *         *         *         *         *         *         0          // Luki
8406       1       0       *         *         *         *         *         *         *         0          // Tony
8408       1       0       *         *         *         *         *         *         *         0          // Nymph
