//Index	Slot	Skill	X	Y	Serial	Option	Drop	Name	2Hand	Level	DmgMin	DmgMax	AtkSpd	Durab	MagDur	MagPW	ReqLvl	ReqStr	ReqDex	ReqEne	ReqVit	ReqCmd	SetA	SM	BK	Elf	MG	DL	Sum	RF	GL
0																															
0	0	0	1	2	1	1	1	"Kris"	0	147	122	135	50	168	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
1	0	0	1	3	1	1	1	"Short Sword"	0	147	122	135	20	168	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
2	0	0	1	3	1	1	1	"Rapier"	0	147	122	135	40	168	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1
3	0	20	1	3	1	1	1	"Katana"	0	147	122	135	35	168	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
4	0	21	1	3	1	1	1	"Sword of Assassin"	0	147	122	135	30	168	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
5	0	22	1	3	1	1	1	"Blade"	0	147	122	135	30	168	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0
6	0	20	1	3	1	1	1	"Gladius"	0	147	122	135	20	168	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0
7	0	21	1	3	1	1	1	"Falchion"	0	147	122	135	25	168	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
8	0	21	1	3	1	1	1	"Serpent Sword"	0	147	122	135	20	168	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
9	0	20	2	3	1	1	1	"Sword of Salamander"	0	147	122	135	30	168	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
10	0	22	2	4	1	1	1	"Light Saber"	0	147	122	135	25	168	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0
11	0	20	2	3	1	1	1	"Legendary Sword"	0	147	122	135	20	168	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
12	0	19	2	3	1	1	1	"Heliacal Sword"	0	147	122	135	25	168	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
13	0	22	1	3	1	1	1	"Double Blade"	0	147	122	135	30	168	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0
14	0	22	1	3	1	1	1	"Lighting Sword"	0	147	122	135	30	168	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0
15	0	23	2	3	1	1	1	"Giant Sword"	0	147	122	135	20	168	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
16	0	22	1	4	1	1	1	"Sword of Destruction"	0	147	122	135	35	168	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
17	0	23	2	4	1	1	1	"Dark Breaker"	0	147	122	135	40	168	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
18	0	23	2	3	1	1	1	"Thunder Blade"	0	147	122	135	40	168	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
19	0	22	1	4	1	1	0	"Divine Arch Sword"	0	147	122	135	45	168	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
20	0	22	1	4	1	1	1	"Knight Blade"	0	147	122	135	35	168	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
21	0	56	2	4	1	1	1	"Dark Reign Blade"	0	147	122	135	40	168	0	125	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
22	0	22	1	4	1	1	1	"Bone Blade"	0	147	122	135	40	168	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
23	0	56	2	4	1	1	1	"Explosion Blade"	0	147	122	135	45	168	0	125	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
24	0	22	2	4	1	1	1	"Daybreak"	0	147	122	135	40	168	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
25	0	56	2	4	1	1	1	"Sword Dancer"	0	147	122	135	40	168	0	125	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
26	0	22	1	4	1	1	1	"Flameberge"	0	147	122	135	40	168	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
27	0	22	1	4	1	1	1	"Sword Breaker"	0	147	122	135	35	168	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
28	0	56	1	4	1	1	1	"Rune Bastard Sword"	0	147	122	135	45	168	0	125	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
29	0	22	1	4	1	1	1	"Sonic Blade"	0	147	122	135	35	168	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
30	0	56	1	4	1	1	1	"Asura"	0	147	122	135	45	168	0	125	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0
31	0	56	2	4	1	1	1	"Rune Blade"	0	147	122	135	35	168	0	125	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0
32	0	260	1	2	1	1	1	"Sacred Glove"	0	147	122	135	25	168	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
