//Index   AllowDrop   AllowSell   AllowTrade   AllowVault   Comment
6144      0           1           1            1            //Wings of Elf
6145      0           1           1            1            //Wings of Heaven
6146      0           1           1            1            //Wings of Satan
6147      0           1           1            1            //Wings of Spirits
6148      0           1           1            1            //Wings of Soul
6149      0           1           1            1            //Wings of Dragon
6150      0           1           1            1            //Wings of Darkness
6159      0           1           1            1            //Jewel of Chaos
6174      0           1           1            1            //Bundled Jewel of Bless
6175      0           1           1            1            //Bundled Jewel of Soul
6180      0           1           1            1            //Wing of Storm
6181      0           1           1            1            //Wing of Eternal
6182      0           1           1            1            //Wing of Illusion
6183      0           1           1            1            //Wing of Ruin
6184      0           1           1            1            //Cape of Emperor
6185      0           1           1            1            //Wing of Curse
6186      0           1           1            1            //Wind of Despair
6187      0           1           1            1            //Wing of Dimension
6204      0           1           1            1            //Seed (Fire)
6205      0           1           1            1            //Seed (Water)
6206      0           1           1            1            //Seed (Ice)
6207      0           1           1            1            //Seed (Wind)
6208      0           1           1            1            //Seed (Lightning)
6209      0           1           1            1            //Seed (Earth)
6214      0           1           1            1            //Sphere (Mono)
6215      0           1           1            1            //Sphere (Di)
6216      0           1           1            1            //Sphere (Tri)
6217      0           1           1            1            //Sphere (Tetra)
6218      0           1           1            1            //Sphere (Penta)
6244      0           1           1            1            //Seed Sphere (Fire)
6245      0           1           1            1            //Seed Sphere (Water)
6246      0           1           1            1            //Seed Sphere (Ice)
6247      0           1           1            1            //Seed Sphere (Wind)
6248      0           1           1            1            //Seed Sphere (Lightning)
6249      0           1           1            1            //Seed Sphere (Earth)
6250      0           1           1            1            //Seed Sphere (Fire)
6251      0           1           1            1            //Seed Sphere (Water)
6252      0           1           1            1            //Seed Sphere (Ice)
6253      0           1           1            1            //Seed Sphere (Wind)
6254      0           1           1            1            //Seed Sphere (Lightning)
6255      0           1           1            1            //Seed Sphere (Earth)
6256      0           1           1            1            //Seed Sphere (Fire)
6257      0           1           1            1            //Seed Sphere (Water)
6258      0           1           1            1            //Seed Sphere (Ice)
6259      0           1           1            1            //Seed Sphere (Wind)
6260      0           1           1            1            //Seed Sphere (Lightning)
6261      0           1           1            1            //Seed Sphere (Earth)
6262      0           1           1            1            //Seed Sphere (Fire)
6263      0           1           1            1            //Seed Sphere (Water)
6264      0           1           1            1            //Seed Sphere (Ice)
6265      0           1           1            1            //Seed Sphere (Wind)
6266      0           1           1            1            //Seed Sphere (Lightning)
6267      0           1           1            1            //Seed Sphere (Earth)
6268      0           1           1            1            //Seed Sphere (Fire)
