//Index   OptionIndex   OptionValue   ItemMinIndex   ItemMaxIndex   ItemOption1   ItemOption2   ItemOption3   ItemNewOption   Comment
0         0             0             0000           2559           1             *             *             *               //General Weapon
0         0             0             2580           2589           *             *             *             *               //General Book
0         0             0             3072           3583           1             *             *             *               //General Shield

//0         49            0             6659           6659           *             *             *             *               //Dinorant
0         62            0             6660           6660           *             *             *             *               //Dark Horse
0         76            0             6693           6693           *             *             *             *               //Fenrir

1         84            5             0000           2559           *             1             *             *               //General Weapon
1         84            5             2560           2579           *             1             *             *               //General Staff
1         84            5             2580           2589           *             1             *             *               //General Book
1         84            5             2590           3071           *             1             *             *               //General Staff
1         84            5             3072           3583           *             1             *             *               //General Shield
1         84            5             3584           6143           *             1             *             *               //General Armor

1         84            5             6144           6150           *             1             *             *               //1st and 2nd Wings
1         84            5             6180           6187           *             1             *             *               //3rd Wings (+ summoner)
1         84            5             6558           6832           *             1             *             *               //4th Wings
1         84            5             6193           6194           *             1             *             *               //RF Capes
1         84            5             6566           6581           *             1             *             *               //Bound 2nd and 3rd Wings
1         84            5             6686           6686           *             1             *             *               //Cape of Lord
1         84            5             6406           6411           *             1             *             *               //2.5 Wings
1         84            5             6414           6414           *             1             *             *               //Cloak of Transcendence

2         84            1             6664           6665           *             1             *             *               //Rings 1
2         84            1             6677           6680           *             1             *             *               //Rings 2
2         94            1             6829           6832           *             1             *             *               //Rings 3
2         84            1             6668           6669           *             1             *             *               //Pendants 1
2         84            1             6681           6684           *             1             *             *               //Pendants 2
2         84            1             6827           6828           *             1             *             *               //Pendants 3

2         80            4             0000           2559           *             *             1             *               //General Weapon
2         81            4             2560           2579           *             *             1             *               //General Staff
2         113           4             2580           2589           *             *             1             *               //General Book
2         81            4             2590           3071           *             *             1             *               //General Staff
2         82            5             3072           3583           *             *             1             *               //General Shield
2         83            4             3584           6143           *             *             1             *               //General Armor

2         85            1             6144           6144           *             *             1             *               //Wings of Fairy
2         81            4             6145           6145           *             *             1             *               //Wings of Angel
2         80            4             6146           6146           *             *             1             *               //Wings of Satan
2         81            4             6185           6185           *             *             1             *               //Wings of Misery
2         80            4             6686           6686           *             *             1             *               //Cape of Lord

2         80            4             6147           6147           *             *             1             *               //Wings of Spirit
2         85            1             6147           6147           *             *             1             32              //Wings of Spirit
2         80            4             6568           6568           *             *             1             *               //Bound Wings of Spirit
2         85            1             6568           6568           *             *             1             32              //Bound Wings of Spirit

2         85            1             6148           6148           *             *             1             *               //Wings of Soul
2         81            4             6148           6148           *             *             1             32              //Wings of Soul
2         85            1             6566           6566           *             *             1             *               //Bound Wings of Soul
2         81            4             6566           6566           *             *             1             32              //Bound Wings of Soul

2         85            1             6149           6149           *             *             1             *               //Wings of Devil
2         80            4             6149           6149           *             *             1             32              //Wings of Devil
2         85            1             6567           6567           *             *             1             *               //Bound Wings of Devil
2         80            4             6567           6567           *             *             1             32              //Bound Wings of Devil

2         81            4             6150           6150           *             *             1             *               //Wings of Darkness
2         80            4             6150           6150           *             *             1             32              //Wings of Darkness
2         81            4             6569           6569           *             *             1             *               //Bound Wings of Darkness
2         80            4             6569           6569           *             *             1             32              //Bound Wings of Darkness

2         85            1             6180           6180           *             *             1             *               //Wings of Storm
2         80            4             6180           6180           *             *             1             16              //Wings of Storm
2         83            4             6180           6180           *             *             1             32              //Wings of Storm
2         85            1             6575           6575           *             *             1             *               //Bound Wings of Storm
2         80            4             6575           6575           *             *             1             16              //Bound Wings of Storm
2         83            4             6575           6575           *             *             1             32              //Bound Wings of Storm

