//Index   Level   Grade   Value         Comment
2055      0       *       100           //Bolt
2055      1       *       1400          //Bolt
2055      2       *       2200          //Bolt
2055      3       *       3000          //Bolt
2063      0       *       70            //Arrow
2063      1       *       1200          //Arrow
2063      2       *       2000          //Arrow
2063      3       *       2800          //Arrow
6159      *       *       810000        //Jewel of Chaos
7181      *       *       3000000       //Jewel of Bless
7182      *       *       1800000       //Jewel of Soul
7184      *       *       15000000      //Jewel of Life
7190      *       *       12000000      //Jewel of Creation
7309      *       *       672000        //Shining Jewelry Case
7310      *       *       546000        //Elegant Jewelry Case
7311      *       *       471000        //Steel Jewelry Case
7312      *       *       363000        //Old Jewelry Case
7374      *       *       5000          //
7375      *       *       0             //
7376      *       *       0             //
6670      0       *       180000        //Loch's Feather
6670      1       *       2400000       //Crest of Monarch
6659      *       0       960000        //Horn of Dinorant
6659      *       1       1260000       //Horn of Dinorant
6659      *       2       1260000       //Horn of Dinorant
6659      *       4       1260000       //Horn of Dinorant
6659      *       3       1560000       //Horn of Dinorant
6659      *       5       1560000       //Horn of Dinorant
6659      *       6       1560000       //Horn of Dinorant
6671      *       *       9000000       //Fruits
6672      1       *       10000         //Scroll of Archangel 1
6672      2       *       50000         //Scroll of Archangel 2
6672      3       *       100000        //Scroll of Archangel 3
6672      4       *       300000        //Scroll of Archangel 4
6672      5       *       500000        //Scroll of Archangel 5
6672      6       *       800000        //Scroll of Archangel 6
6672      7       *       1000000       //Scroll of Archangel 7
6672      8       *       1200000       //Scroll of Archangel 8
6673      1       *       10000         //Blood Bone 1
6673      2       *       50000         //Blood Bone 2
6673      3       *       100000        //Blood Bone 3
6673      4       *       300000        //Blood Bone 4
6673      5       *       500000        //Blood Bone 5
6673      6       *       800000        //Blood Bone 6
6673      7       *       1000000       //Blood Bone 7
6673      8       *       1200000       //Blood Bone 8
6674      1       *       150000        //Invisibility Cloak 1
6674      2       *       660000        //Invisibility Cloak 2
6674      3       *       720000        //Invisibility Cloak 3
6674      4       *       780000        //Invisibility Cloak 4
6674      5       *       840000        //Invisibility Cloak 5
6674      6       *       900000        //Invisibility Cloak 6
6674      7       *       960000        //Invisibility Cloak 7
6674      8       *       1020000       //Invisibility Cloak 8
7196      *       *       210000        //Lost Map
7197      *       *       30000         //Symbol of Kundun
7279      *       *       600000        //Mirror of Dimensions
7278      *       *       30000         //Sign of Dimensions
7270      *       *       30000         //Gaion's Order
7277      *       *       30000         //Complete Secromicon
7269      *       *       30000         //Suspicious Scrap of Paper
7271      *       *       30000         //First Secromicon Fragment
7272      *       *       30000         //Second Secromicon Fragment
7273      *       *       30000         //Third Secromicon Fragment
7274      *       *       30000         //Fourth Secromicon Fragment
7275      *       *       30000         //Fifth Secromicon Fragment
7276      *       *       30000         //Sixth Secromicon Fragment
6685      *       *       5000          //Armor of Guardsman
7189      0       *       9000          //Rena
7189      1       *       9000          //Stone
7189      2       *       9000          //Stone of Friendship
7189      3       *       3900          //Sign of Lord
7185      1       *       10000         //Devil's Eye 1
7185      2       *       50000         //Devil's Eye 2
7185      3       *       100000        //Devil's Eye 3
7185      4       *       300000        //Devil's Eye 4
7185      5       *       500000        //Devil's Eye 5
7185      6       *       800000        //Devil's Eye 6
7185      7       *       1000000       //Devil's Eye 7
7186      1       *       15000         //Devil's Key 1
7186      2       *       75000         //Devil's Key 2
7186      3       *       150000        //Devil's Key 3
7186      4       *       450000        //Devil's Key 4
7186      5       *       750000        //Devil's Key 5
7186      6       *       1200000       //Devil's Key 6
7186      7       *       1500000       //Devil's Key 7
7187      1       *       60000         //Devil's Invitation 1
7187      2       *       84000         //Devil's Invitation 2
7187      3       *       120000        //Devil's Invitation 3
7187      4       *       180000        //Devil's Invitation 4
7187      5       *       240000        //Devil's Invitation 5
7187      6       *       300000        //Devil's Invitation 6
7187      7       *       180000        //Devil's Invitation 7
6705      1       *       500000        //Old Scroll 1
6705      2       *       600000        //Old Scroll 2
6705      3       *       800000        //Old Scroll 3
6705      4       *       1000000       //Old Scroll 4
6705      5       *       1200000       //Old Scroll 5
6705      6       *       1400000       //Old Scroll 6
6706      1       *       500000        //Illusion Sorcerer Covenant 1
6706      2       *       600000        //Illusion Sorcerer Covenant 2
6706      3       *       800000        //Illusion Sorcerer Covenant 3
6706      4       *       1000000       //Illusion Sorcerer Covenant 4
6706      5       *       1200000       //Illusion Sorcerer Covenant 5
6706      6       *       1400000       //Illusion Sorcerer Covenant 6
6707      1       *       500000        //Scroll of Blood 1
6707      2       *       600000        //Scroll of Blood 2
6707      3       *       800000        //Scroll of Blood 3
6707      4       *       1000000       //Scroll of Blood 4
6707      5       *       1200000       //Scroll of Blood 5
6707      6       *       1400000       //Scroll of Blood 6
7191      *       *       9000          //Scroll of the Emperor
7192      *       *       9000          //Broken Sword
7193      *       *       9000          //Tear of Elf
7194      *       *       9000          //Soul Shard of Wizard
7233      *       *       9000          //Death-beam Knight Flame
7234      *       *       9000          //Hell-Miner Horn
7235      *       *       9000          //Dark Phoenix Feather
7236      *       *       9000          //Abyssal Eye
7177      1       *       1000          //Ale
7188      *       *       900           //Remedy of Love
7219      *       *       200000        //Christmas Star
7231      *       *       200000        //Firecracker
