//========================================================================
//Item Type	Item Index	Ex1	Ex2	Ex3	Ex4	Ex5	Ex6	Rate(1/1000000)
//========================================================================
0	42	0	3	-1	-1	-1	-1	180000
0	42	0	6	-1	-1	-1	-1	180000
0	42	0	4	-1	-1	-1	-1	180000
0	42	0	5	-1	-1	-1	-1	180000
0	42	0	3	6	-1	-1	-1	180000
0	44	0	3	-1	-1	-1	-1	180000
0	44	0	6	-1	-1	-1	-1	180000
0	44	0	4	-1	-1	-1	-1	180000
0	44	0	5	-1	-1	-1	-1	180000
0	44	0	3	6	-1	-1	-1	180000
0	46	0	3	-1	-1	-1	-1	180000
0	46	0	6	-1	-1	-1	-1	180000
0	46	0	4	-1	-1	-1	-1	180000
0	46	0	5	-1	-1	-1	-1	180000
0	46	0	3	6	-1	-1	-1	180000
2	22	0	3	-1	-1	-1	-1	180000
2	22	0	6	-1	-1	-1	-1	180000
2	22	0	4	-1	-1	-1	-1	180000
2	22	0	5	-1	-1	-1	-1	180000
2	22	0	3	6	-1	-1	-1	180000
3	19	0	3	-1	-1	-1	-1	180000
3	19	0	6	-1	-1	-1	-1	180000
3	19	0	4	-1	-1	-1	-1	180000
3	19	0	5	-1	-1	-1	-1	180000
3	19	0	3	6	-1	-1	-1	180000
4	28	0	3	-1	-1	-1	-1	180000
4	28	0	6	-1	-1	-1	-1	180000
4	28	0	4	-1	-1	-1	-1	180000
4	28	0	5	-1	-1	-1	-1	180000
4	28	0	3	6	-1	-1	-1	180000
5	41	0	3	-1	-1	-1	-1	180000
5	41	0	6	-1	-1	-1	-1	180000
5	41	0	4	-1	-1	-1	-1	180000
5	41	0	5	-1	-1	-1	-1	180000
5	41	0	3	6	-1	-1	-1	180000
5	43	0	3	-1	-1	-1	-1	180000
5	43	0	6	-1	-1	-1	-1	180000
5	43	0	4	-1	-1	-1	-1	180000
5	43	0	5	-1	-1	-1	-1	180000
5	43	0	3	6	-1	-1	-1	180000
4	34	0	3	-1	-1	-1	-1	180000
4	34	0	6	-1	-1	-1	-1	180000
4	34	0	4	-1	-1	-1	-1	180000
4	34	0	5	-1	-1	-1	-1	180000
4	34	0	3	6	-1	-1	-1	180000
end
