//0
// Pet options
// Option Type Name
// 1 "Increased attack power / power / curse +% d"
// 2 "Defense increase +% d"
// 3 "Increase Excellent Damage +% d"
// 4 "Critical Damage Increase +% d"
// 5 "+ skill attack +% d"
// 6 "damage reduction"
// 7 "Maximum attack / power / low-power increase +% d"
// 8 "Increased attack power, horsepower, and curse +% d (not apply PVP)"
// 9 "Defense increase +% d (not apply PVP)"
// 10 "Excellent damage increase +% d (PVP not applied)"
// 11 "Critical damage increase +% d (not apply PVP)"
// 12 "Increases skill attack power +% d (not apply PVP)"
// 13 "Reduce damage (not apply PVP)"
// 14 "Maximum attack power, magic power, and low power increase +% d (not apply PVP)"
// 15 "% d %% reduction in item repair cost"
// 16 "Additional XP% d %%"
// 17 "Increased Zen gain when monster dies% d %%"
// 18 "Increased attack power +% d"
// 19 "Increased attribute defense +% d"
// 20 "Increased attack power +% d (not apply PVP)"
// 21 "Increased attribute defense +% d (not apply PVP)"
// 22 "Increased attack power, magic power, and curse +% d (PVP40 %% applied)"
// 50 "attack skill (% d level)"
// 51 "Damage absorption skill (% d level)"
// 52 "Stern skill (% step)"
// 53 "Attack skill (% d level) (PVP not applied)"
// 54 "Damage absorption skill (% d level) (PVP not applied)"
// 55 "Stern skill (% level) (PVP not applied)"
// end

//One
// condition Type Name
// 1 "Special hunting ground"
// 2 "specific level"
// 3 "specific time"
// 4 "specific day of the week"
// 5 "Monster Kill Count"
// 6 "Designated Monster Kill Town" fail
// 7 "Game play time"
// 8 "Premium Week's Day Change"
// end

0
//Index	Type	Rank	Opt	Evolution	Comment 
8192 	42		1		4	8193 		// Pinocchio
8193 	43		1		4	* 			// Pinocchio (Evolved)
8194 	38		1		2	8195 		// Geppetto 
8195 	38		1		2	* 			// Geppetto (Evolved)
8196 	25		1		2	8197 		// Blue Fairy 
8197 	25		1		2	* 			// Blue Fairy (Evolved)
8198 	40		1		4	8199 		// Papa Bear
8199 	41		1		4	* 			// Papa Bear (Evolved)
8200 	57		1		2	8201 		// Baby Bear 
8201 	57		1		2	* 			// Baby Bear (Evolved)
8202 	28		1		2	8203 		// Mama Bear 
8203 	28		1		2	* 			// Mama Bear (Evolved)
8204 	42		1		4	8205 		// Woody 
8205 	43		1		4	* 			// Woody (Evolved)
8206 	38		1		2	8207 		// Treasure Chest 
8207 	38		1		2	* 			// Treasure Chest (Evolved)
8208 	28		1		2	8209 		// Treasure Hunter 
8209 	28		1		2	* 			// Treasure Hunter (Evolved)
8210 	40		1		4	8211 		// Tree Elf 
8211 	41		1		4	* 			// Tree Elf (Evolved)
8212 	23		1		2	8213 		// Grass Fairy 
8213 	23		1		2	* 			// Grass Fairy (Evolved)
8214 	54		1		2	8215 		// Leaf Mage 
8215 	54		1		2	* 			// Leaf Mage (Evolved)
8216 	50		1		4	8217 		// Samba Girl
8217 	51		1		4	* 			// Samba Girl (Evolved)
8218 	48		1		2	8219 		// Rio 
8219 	48		1		2	* 			// Rio (Evolved)
8220 	54		1		2	8221 		// Bateria 
8221 	54		1		2	* 			// Bateria (Evolved)
8222 	61		1		3	* 			// Reporter
8223 	41		1		4	* 			// Dragon Articles
8224 	40		1		4	8225 		// Tiger
8225 	41		1		4	* 			// Tiger(Evolved)
8226 	42		1		4	8227 		// Libra 
8227 	43		1		4	* 			// Libra (Evolved)
8228 	50		1		4	8229 		// Scorpio
8229 	51		1		4	* 			// Scorpio (Evolved)
8230 	42		1		4	8231 		// Meowstrong 
8231 	43		1		4	* 			// Meowstrong (Evolved)
8232 	68		1		3	* 			// Dotto
8233 	40		1		4	8234 		// Chicken
8234 	41		1		4	* 			// Chicken (Evolved)
8235 	38		1		2	8236 		// Chick
8236 	38		1		2	* 			// Chick (Evolved)
8237 	25		1		2	8238 		// Angry Rooster
8238 	25		1		2	* 			// Angry Rooster (Evolved)
8239 	32		1		4	8240 		// Lion Mask 
8240 	51		1		4	* 			// Lion Mask (Evolved)
8241 	*		1		4	8242 		// Knight Instructor
8242 	*		1		4	* 			// Knight Instructor (Evolved)
8243 	*		1		4	8244 		// Black Leopard
8244 	*		1		4	* 			// Black Leopard (Evolved)
8245 	*		1		4	8246 		// Toy Robot
8246 	*		1		4	* 			// Toy Robot (Evolved)
8247	*		1		4	8248		// Adventurous Cat
8248	*		1		4	*			// Adventurous Cat (Evolved)
8249	*		1		4	8250		// Dike
8250	*		1		4	*			// Dike (Evolved)
8251	*		1		4	8252		// Raincoat Girl
8252	*		1		4	*			// Raincoat Girl (Evolved)
8253	*		1		4	8254		// Scarecrow
8254	*		1		4	*			// Scarecrow (Evolved)
8255	*		1		4	8256		// Zombie Knight
8256	*		1		4	*			// Zombie Knight (Evolved)
8257	*		1		4	8258		// Mr. Fisherman
8258	*		1		4	*			// Mr. Fisherman (Evolved)
8259	*		1		4	8260		// Snowflake Fairy
8260	*		1		4	*			// Snowflake Fairy (Evolved)

8261	*		2		4	*			// Prince
8262	*		2		4	*			// King Reksmilon

8263	*		1		4	8264		// Haughty Poodle
8264	*		1		4	*			// Haughty Poodle (Evolved)
8265	*		1		4	8266		// Excited Beagle
8266	*		1		4	*			// Excited Beagle (Evolved)
8267	*		1		4	8268		// Angry Bulldog
8268	*		1		4	*			// Angry Bulldog (Evolved)
8269	*		1		4	8270		// Skiing Tiger
8270	*		1		4	*			// Skiing Tiger (Evolved)
8271	*		1		4	8272		// Figure Skating Queen
8272	*		1		4	*			// Figure Skating Queen (Evolved)
8273	*		1		4	8274		// Hockey Bear
8274	*		1		4	*			// Hockey Bear (Evolved)
8275	*		1		4	8276		// Pilot
8276	*		1		4	*			// Pilot (Evolved)
8277	*		1		4	8278		// Super Panda
8278	*		1		4	*			// Super Panda (Evolved)

8404 	0		1		3	8405 		// Luki
8405 	0		1		3	* 			// Luki (Evolved)
8406 	9		1		3	8407 		// Tony 
8407 	9		1		3	* 			// Tony (Evolved)
8408 	1		1		2	8409 		// Nymph
8409 	1		1		2	* 			// Nymph (Evolved)
8410 	2		1		1	8411 		// Safi
8411 	2		1		1	* 			// Safi (Evolved)
8415 	3		1		4	8416 		// William 
8416 	3		1		4	* 			// William (Evolved)
8417 	4		1		2	8418 		// Paul 
8418 	4		1		2	* 			// Paul (Evolved)
8419 	5		1		2	8420 		// Chiron 
8420 	5		1		2	* 			// Chiron (Evolved)
8421 	14		1		4	8422 		// Wooparoo 
8422 	14		1		4	* 			// Wooparoo (Evolved)
8423 	11		4		3	8424 		// Tibetton 
8424 	11		4		3	* 			// Tibetton (Evolved)
8425 	6		1		4	8426 		// Witch 
8426 	6		1		4	* 			// Witch (Evolved)
8427 	7		1		2	8428 		// Skull 
8428 	7		1		2	* 			// Skull (Evolved)
8429 	8		1		2	8430 		// Pumpkie 
8430 	8		1		2	* 			// Pumpkie (Evolved)
8433 	10		1		4	8434 		// Savath 
8434 	10		1		4	* 			// Savath (Evolved)	
8435 	13		1		2	8436 		// Lycan 
8436 	13		1		2	* 			// Lycan (Evolved)
8437 	12		1		2	8438 		// Torby 
8438 	12		1		2	* 			// Torby (Evolved)	
8444 	15		1		2	8445 		// Seiren 
8445 	15		1		2	* 			// Seiren (Evolved)
8446 	16		1		2	8447 		// Behemoth
8447 	16		1		2	* 			// Behemoth (Evolved)
8448 	24		1		4	8449 		// Loggle 
8449 	24		1		4	* 			// Loggle (Evolved)	
8450 	23		1		2	8451 		// Mino 
8451 	23		1		2	* 			// Mino (Evolved)
8452 	25		1		2	8453 		// Hound
8453 	25		1		2	* 			// Hound (Evolved)	
8454 	17		1		4	8455 		// Trive
8455 	17		1		4	* 			// Trive (Evolved)
8456 	19		1		2	8457 		// Vogan 
8457 	19		1		2	* 			// Vogan (Evolved)	
8458 	18		1		2	8459 		// Cyclop 
8459 	18		1		2	* 			// Cyclop (Evolved)	
8462 	20		1		4	8463 		// Bonf 
8463 	20		1		4	* 			// Bonf (Evolved)
8464 	21		1		2	8465 		// Hawk 
8465 	21		1		2	* 			// Hawk (Evolved)
8466 	22		1		2	8467 		// Muty 
8467 	22		1		2	* 			// Muty (Evolved)
8470 	20		1		4	8471 		// Mantis 
8471 	20		1		4	* 			// Mantis (Evolved)
8472 	27		1		2	8473 		// Scolpy
8473 	27		1		2	* 			// Scolpy (Evolved)	
8474 	28		1		2	8475 		// Chafer 
8475 	28		1		2	* 			// Chafer (Evolved)
8482 	32		1		4	8483 		// Cosplay Girl 
8483 	32		1		4	* 			// Cosplay Girl (Evolved)
8484 	33		1		2	8485 		// Cheer Girl
8485 	33		1		2	* 			// Cheer Girl (Evolved)
8486 	34		1		2	8487 		// Sporty Girl 
8487 	34		1		2	* 			// Sporty Girl (Evolved)
8488 	24		1		2	8489 		// Baal 
8489 	24		1		2	* 			// Baal (Evolved)
8490 	35		1		2	8491 		// Gaap 
8491 	35		1		2	* 			// Gaap (Evolved)
8492 	25		1		4	8493		// Taaf 
8493 	25		1		4	* 			// Taaf (Evolved)
8494 	28		1		4	8495 		// Frozen 
8495 	28		1		4	* 			// Frozen (Evolved)
8496 	36		1		2	8497 		// Lure 
8497 	36		1		2	* 			// Lure (Evolved)	
8498 	26		1		2	8499 		// Fur Seal
8499 	26		1		2	* 			// Fur Seal (Evolved)
8500 	32		1		4	8501 		// Lucky Rabbit 
8501 	32		1		4	* 			// Lucky Rabbit (Evolved)	
8502 	37		1		2	8503 		// Mooncake Rabbit
8503 	37		1		2	* 			// Mooncake Rabbit (Evolved)
8504 	28		1		2	8505 		// Mortar Rabbit 
8505 	28		1		2	* 			// Mortar Rabbit (Evolved)
