//ID	Name1	Name2	Opt1_1	Opt1_2	Opt2_1	Opt2_2	Opt3_1	Opt3_2	Opt4_1	Opt4_2	Opt5_1	Opt5_2	Opt6_1	Opt6_2	Val1_1	Val1_2	Val2_1	Val2_2	Val3_1	Val3_2	Val4_1	Val4_2	Val5_1	Val5_2	Val6_1	Val6_2	Opt_1stExIndex	Opt_2ndExIndex	Opt_1stExValue	Opt_2ndExValue	Flag	Full1	Full2	Full3	Full4	Full5	Full6	FValue1	FValue2	FValue3	FValue4	FValue5	FValue6	DW	DK	FE	MG	DL	SU	RF	GL
1	"Warrior's"	"Warrior's"	0	*	19	*	13	*	14	*	10	*	1	*	100	*	1000	*	20	*	5	*	200	*	100	*	*	*	*	*	8	15	17	0	*	*	*	5	5	250	*	*	*	0	0	0	0	0	0	0	0
2	"Anonymous's"	"Anonymous's"	11	*	1	*	22	*	*	*	*	*	*	*	5000	*	500	*	25	*	*	*	*	*	*	*	*	*	*	*	8	8	*	*	*	*	*	3000	*	*	*	*	*	0	0	0	0	0	0	0	0
3	"Hyperion's"	"Hyperion's"	2	*	1	*	*	*	*	*	*	*	*	*	150	*	150	*	*	*	*	*	*	*	*	*	*	*	*	*	8	19	12	*	*	*	*	2000	30	*	*	*	*	0	0	0	0	0	0	0	0
4	"Mist's"	"Mist's"	3	*	19	*	*	*	*	*	*	*	*	*	200	*	3000	*	*	*	*	*	*	*	*	*	*	*	*	*	8	20	1	*	*	*	*	10	200	*	*	*	*	0	0	0	0	0	0	0	0
5	"Eplete's"	"Eplete's"	19	*	9	*	7	*	11	*	*	*	*	*	1500	*	50	*	10	*	5000	*	*	*	*	*	*	*	*	*	8	13	15	17	*	*	*	30	10	10	*	*	*	0	0	0	0	0	0	0	0
6	"Berserker's"	"Berserker's"	6	*	6	*	6	*	6	*	*	*	*	*	100	*	200	*	300	*	400	*	*	*	*	*	*	*	*	*	8	19	0	*	*	*	*	4000	400	*	*	*	*	0	0	0	0	0	0	0	0
7	"Garuda's"	"Garuda's"	13	*	20	*	2	*	11	*	*	*	*	*	30	*	5	*	150	*	5000	*	*	*	*	*	*	*	*	*	8	19	7	*	*	*	*	2500	30	*	*	*	*	0	0	0	0	0	0	0	0
8	"Cloud's"	"Cloud's"	15	*	*	*	*	*	*	*	*	*	*	*	20	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	8	16	*	*	*	*	*	5000	*	*	*	*	*	0	0	0	0	0	0	0	0
9	"Kantata's"	"Kantata's"	2	*	3	*	7	*	0	*	*	*	*	*	150	*	300	*	20	*	150	*	*	*	*	*	*	*	*	*	8	19	17	18	*	*	*	2500	10	2000	*	*	*	0	0	0	0	0	0	0	0
10	"Rave's"	"Rave's"	19	*	20	*	*	*	*	*	*	*	*	*	2000	*	10	*	*	*	*	*	*	*	*	*	*	*	*	*	8	23	21	*	*	*	*	30	5	*	*	*	*	0	0	0	0	0	0	0	0
11	"Hyon's"	"Hyon's"	10	*	20	*	19	*	*	*	*	*	*	*	250	*	10	*	2000	*	*	*	*	*	*	*	*	*	*	*	8	15	17	16	18	*	*	15	15	2000	2000	*	*	0	0	0	0	0	0	0	0
12	"Vicious's"	"Vicious's"	19	*	8	*	20	*	*	*	*	*	*	*	1500	*	1500	*	10	*	*	*	*	*	*	*	*	*	*	*	8	5	6	21	*	*	*	200	300	5	*	*	*	0	0	0	0	0	0	0	0
13	"Apollo's"	"Apollo's"	2	*	7	*	19	*	12	*	11	*	13	*	100	*	10	*	1000	*	30	*	3000	*	20	*	*	*	*	*	8	15	17	2	*	*	*	10	10	300	*	*	*	0	0	0	0	0	0	0	0
14	"Barnake's"	"Barnake's"	7	*	2	*	*	*	*	*	*	*	*	*	20	*	200	*	*	*	*	*	*	*	*	*	*	*	*	*	8	19	12	*	*	*	*	3000	100	*	*	*	*	0	0	0	0	0	0	0	0
15	"Evis's"	"Evis's"	19	*	3	*	7	*	*	*	*	*	*	*	1500	*	200	*	20	*	*	*	*	*	*	*	*	*	*	*	8	20	9	14	*	*	*	5	50	5	*	*	*	0	0	0	0	0	0	0	0
16	"Sylion's"	"Sylion's"	20	*	15	*	10	*	*	*	*	*	*	*	5	*	5	*	200	*	*	*	*	*	*	*	*	*	*	*	8	0	1	3	2	*	*	500	500	500	500	*	*	0	0	0	0	0	0	0	0
17	"Heras's"	"Heras's"	0	*	7	*	22	*	2	*	9	*	*	*	150	*	20	*	5	*	150	*	50	*	*	*	*	*	*	*	8	15	17	11	12	*	*	10	10	5000	50	*	*	0	0	0	0	0	0	0	0
18	"Minet's"	"Minet's"	2	*	10	*	*	*	*	*	*	*	*	*	300	*	300	*	*	*	*	*	*	*	*	*	*	*	*	*	8	12	19	*	*	*	*	100	1500	*	*	*	*	0	0	0	0	0	0	0	0
19	"Anubis's"	"Anubis's"	20	*	12	*	7	*	*	*	*	*	*	*	10	*	50	*	20	*	*	*	*	*	*	*	*	*	*	*	8	15	17	16	18	*	*	15	15	2000	2000	*	*	0	0	0	0	0	0	0	0
