//Cat	Type	StatTyp	Tier1	Tier2	Tier3
0	2	0	21	0	0
0	14	0	11	0	0
0	17	0	57	0	0
0	31	0	60	0	0
0	32	0	37	38	0
0	33	0	56	0	0
0	34	0	63	0	0
2	1	0	1	0	0
2	11	0	61	0	0
4	5	1	29	0	0
4	9	1	23	0	0
4	17	1	59	0	0
5	0	2	13	0	0
5	8	2	51	0	0
5	9	2	58	0	0
5	18	2	62	0	0
6	0	3	0	2	0
6	6	3	17	0	0
6	9	3	5	0	0
6	12	3	50	0	0
6	30	3	74	0	0
6	32	3	72	0	0
7	0	3	4	0	0
7	1	3	11	12	0
7	2	3	13	14	0
7	3	3	19	20	0
7	4	3	16	0	0
7	5	3	1	2	0
7	6	3	5	6	0
7	7	3	17	0	0
7	8	3	8	0	0
7	9	3	10	0	0
7	10	3	21	22	0
7	11	3	23	0	0
7	12	3	25	0	0
7	13	3	28	0	0
7	14	3	0	30	0
7	17	3	57	0	0
7	26	3	33	0	0
7	36	3	52	0	0
7	38	3	61	0	0
7	40	3	35	36	0
7	59	3	37	0	0
7	61	3	63	0	0
7	62	3	39	0	0
7	63	3	40	0	0
7	64	3	41	0	0
7	65	3	42	0	0
7	66	3	43	0	0
7	67	3	44	0	0
7	68	3	45	0	0
7	69	3	46	0	0
7	70	3	47	0	0
7	72	3	49	0	0
7	92	3	71	0	0
7	94	3	72	0	0
7	95	3	74	0	0
7	96	3	76	0	0
7	97	3	77	0	0
7	98	3	78	0	0
7	99	3	80	0	0
7	100	3	82	0	0
7	101	3	84	0	0
7	103	3	88	0	0
7	104	3	90	0	0
7	105	3	92	0	0
7	106	3	132	0	0
7	107	3	133	0	0
7	108	3	134	0	0
7	109	3	135	0	0
7	111	3	137	0	0
7	112	3	138	0	0
7	113	3	139	0	0
7	114	3	140	0	0
7	130	3	94	95	0
7	131	3	96	97	0
7	132	3	98	99	0
7	134	3	102	103	0
7	135	3	104	105	0
7	136	3	106	107	0
7	137	3	108	109	0
7	138	3	110	0	0
7	139	3	111	0	0
7	140	3	112	0	0
7	141	3	113	0	0
7	143	3	115	0	0
7	144	3	116	0	0
7	145	3	117	0	0
7	150	3	118	0	0
7	151	3	119	0	0
7	152	3	120	0	0
7	153	3	121	0	0
7	155	3	123	0	0
7	156	3	124	0	0
7	157	3	125	0	0
7	158	3	126	0	0
7	159	3	127	0	0
7	160	3	128	0	0
7	164	3	150	0	0
7	165	3	151	0	0
7	166	3	152	0	0
7	167	3	153	0	0
7	169	3	155	0	0
7	170	3	156	0	0
7	171	3	157	0	0
7	172	3	158	0	0
8	0	3	3	0	0
8	1	3	0	12	0
8	2	3	13	0	0
8	3	3	19	20	0
8	4	3	15	16	0
8	5	3	1	0	0
8	6	3	5	6	0
8	7	3	17	18	0
8	8	3	7	0	0
8	9	3	9	10	0
8	10	3	22	0	0
8	11	3	23	0	0
8	12	3	25	0	0
8	13	3	27	0	0
8	14	3	29	30	0
8	15	3	31	32	0
8	17	3	57	0	0
8	18	3	58	0	0
8	19	3	59	0	0
8	26	3	33	0	0
8	38	3	61	0	0
8	40	3	0	36	0
8	41	3	55	0	0
8	42	3	62	0	0
8	59	3	37	38	0
8	61	3	63	0	0
8	62	3	39	0	0
8	63	3	40	0	0
8	64	3	41	0	0
8	65	3	42	0	0
8	66	3	43	0	0
8	67	3	44	0	0
8	68	3	45	0	0
8	69	3	46	0	0
8	70	3	47	0	0
8	71	3	48	0	0
8	72	3	49	0	0
8	92	3	71	0	0
8	94	3	72	0	0
8	95	3	74	0	0
8	96	3	76	0	0
8	97	3	77	0	0
8	98	3	78	0	0
8	99	3	80	0	0
8	100	3	82	0	0
8	101	3	84	0	0
8	102	3	86	0	0
8	103	3	88	0	0
8	104	3	90	0	0
8	105	3	92	0	0
8	106	3	132	0	0
8	107	3	133	0	0
8	108	3	134	0	0
8	109	3	135	0	0
8	110	3	136	0	0
8	111	3	137	0	0
8	112	3	138	0	0
8	113	3	139	0	0
8	114	3	140	0	0
8	115	3	141	0	0
8	130	3	94	95	0
8	131	3	96	97	0
8	132	3	98	99	0
8	133	3	100	101	0
8	134	3	102	103	0
8	135	3	104	105	0
8	136	3	106	107	0
8	137	3	108	109	0
8	138	3	110	0	0
8	139	3	111	0	0
8	140	3	112	0	0
8	141	3	113	0	0
8	142	3	114	0	0
8	143	3	115	0	0
8	144	3	116	0	0
8	145	3	117	0	0
8	150	3	118	0	0
8	151	3	119	0	0
8	152	3	120	0	0
8	153	3	121	0	0
8	154	3	122	0	0
8	155	3	123	0	0
8	156	3	124	0	0
8	157	3	125	0	0
8	158	3	126	0	0
8	159	3	127	0	0
8	160	3	128	0	0
8	161	3	129	0	0
8	162	3	130	0	0
8	163	3	131	0	0
8	164	3	150	0	0
8	165	3	151	0	0
8	166	3	152	0	0
8	167	3	153	0	0
8	168	3	154	0	0
8	169	3	155	0	0
8	170	3	156	0	0
8	171	3	157	0	0
8	172	3	158	0	0
8	173	3	159	0	0
9	0	3	3	4	0
9	1	3	0	12	0
9	2	3	13	14	0
9	3	3	0	20	0
9	4	3	15	0	0
9	5	3	1	2	0
9	6	3	5	6	0
9	7	3	17	18	0
9	8	3	7	8	0
9	9	3	10	0	0
9	10	3	21	22	0
9	11	3	23	24	0
9	12	3	25	26	0
9	13	3	27	28	0
9	14	3	0	30	0
9	15	3	31	32	0
9	16	3	50	0	0
9	17	3	57	0	0
9	19	3	59	0	0
9	20	3	60	0	0
9	26	3	33	34	0
9	35	3	51	0	0
9	36	3	52	0	0
9	40	3	35	0	0
9	42	3	62	0	0
9	59	3	37	38	0
9	62	3	39	0	0
9	63	3	40	0	0
9	64	3	41	0	0
9	65	3	42	0	0
9	66	3	43	0	0
9	67	3	44	0	0
9	68	3	45	0	0
9	69	3	46	0	0
9	70	3	47	0	0
9	71	3	48	0	0
9	72	3	49	0	0
9	92	3	71	0	0
9	94	3	72	73	0
9	95	3	74	75	0
9	96	3	76	0	0
9	97	3	77	0	0
9	98	3	78	0	0
9	99	3	80	0	0
9	100	3	82	0	0
9	101	3	84	0	0
9	102	3	86	0	0
9	103	3	88	0	0
9	104	3	90	0	0
9	105	3	92	0	0
9	106	3	132	0	0
9	107	3	133	0	0
9	108	3	134	0	0
9	109	3	135	0	0
9	110	3	136	0	0
9	111	3	137	0	0
9	112	3	138	0	0
9	113	3	139	0	0
9	114	3	140	0	0
9	115	3	141	0	0
9	130	3	94	95	0
9	131	3	96	97	0
9	132	3	98	99	0
9	133	3	100	101	0
9	134	3	102	103	0
9	135	3	104	105	0
9	136	3	106	107	0
9	137	3	108	109	0
9	138	3	110	0	0
9	139	3	111	0	0
9	140	3	112	0	0
9	141	3	113	0	0
9	142	3	114	0	0
9	143	3	115	0	0
9	144	3	116	0	0
9	145	3	117	0	0
9	150	3	118	0	0
9	151	3	119	0	0
9	152	3	120	0	0
9	153	3	121	0	0
9	154	3	122	0	0
9	155	3	123	0	0
9	156	3	124	0	0
9	157	3	125	0	0
9	158	3	126	0	0
9	159	3	127	0	0
9	160	3	128	0	0
9	161	3	129	0	0
9	162	3	130	0	0
9	163	3	131	0	0
9	164	3	150	0	0
9	165	3	151	0	0
9	166	3	152	0	0
9	167	3	153	0	0
9	168	3	154	0	0
9	169	3	155	0	0
9	170	3	156	0	0
9	171	3	157	0	0
9	172	3	158	0	0
9	173	3	159	0	0
10	0	3	4	0	0
10	1	3	11	0	0
10	2	3	13	0	0
10	3	3	19	0	0
10	4	3	16	0	0
10	5	3	1	0	0
10	6	3	6	0	0
10	7	3	17	0	0
10	8	3	7	0	0
10	9	3	9	0	0
10	10	3	21	0	0
10	11	3	23	24	0
10	12	3	25	0	0
10	13	3	27	0	0
10	14	3	29	0	0
10	15	3	0	32	0
10	18	3	58	0	0
10	20	3	60	0	0
10	26	3	0	34	0
10	27	3	54	0	0
10	38	3	61	0	0
10	40	3	35	36	0
10	42	3	62	0	0
10	62	3	39	0	0
10	63	3	40	0	0
10	64	3	41	0	0
10	65	3	42	0	0
10	66	3	43	0	0
10	67	3	44	0	0
10	68	3	45	0	0
10	69	3	46	0	0
10	70	3	47	0	0
10	71	3	48	0	0
10	94	3	73	0	0
10	95	3	75	0	0
10	96	3	76	0	0
10	97	3	77	0	0
10	99	3	80	0	0
10	100	3	82	0	0
10	101	3	84	0	0
10	102	3	86	0	0
10	103	3	88	0	0
10	105	3	92	0	0
10	107	3	133	0	0
10	108	3	134	0	0
10	109	3	135	0	0
10	110	3	136	0	0
10	111	3	137	0	0
10	113	3	139	0	0
10	114	3	140	0	0
10	115	3	141	0	0
10	130	3	94	95	0
10	131	3	96	97	0
10	132	3	98	99	0
10	133	3	100	101	0
10	134	3	102	103	0
10	135	3	104	105	0
10	137	3	108	109	0
10	139	3	111	0	0
10	140	3	112	0	0
10	141	3	113	0	0
10	142	3	114	0	0
10	143	3	115	0	0
10	145	3	117	0	0
10	151	3	119	0	0
10	152	3	120	0	0
10	153	3	121	0	0
10	154	3	122	0	0
10	155	3	123	0	0
10	157	3	125	0	0
10	158	3	126	0	0
10	159	3	127	0	0
10	160	3	128	0	0
10	161	3	129	0	0
10	162	3	130	0	0
10	163	3	131	0	0
10	165	3	151	0	0
10	166	3	152	0	0
10	167	3	153	0	0
10	168	3	154	0	0
10	169	3	155	0	0
10	171	3	157	0	0
10	172	3	158	0	0
10	173	3	159	0	0
11	0	3	3	0	0
11	1	3	11	0	0
11	2	3	14	0	0
11	3	3	0	20	0
11	4	3	15	16	0
11	5	3	1	2	0
11	6	3	6	0	0
11	7	3	17	18	0
11	8	3	7	0	0
11	9	3	9	0	0
11	10	3	21	22	0
11	11	3	24	0	0
11	12	3	25	26	0
11	13	3	28	0	0
11	14	3	29	30	0
11	15	3	31	0	0
11	17	3	57	0	0
11	18	3	58	0	0
11	19	3	59	0	0
11	20	3	60	0	0
11	26	3	0	34	0
11	27	3	54	0	0
11	37	3	53	0	0
11	38	3	61	0	0
11	40	3	0	36	0
11	41	3	55	0	0
11	59	3	38	0	0
11	61	3	63	0	0
11	62	3	39	0	0
11	63	3	40	0	0
11	64	3	41	0	0
11	65	3	42	0	0
