0
//ItemUpBefore	ItemUpAfter	SaveLevel	SaveOption
27		29				0		0
26		36				0		0
3089	3094				0		0
3629	3658				0		0
4141	4170				0		0
4653	4682				0		0
5165	5194				0		0
5677	5706				0		0
3630	3638				0		0
4142	4150				0		0
4654	4662				0		0
5166	5174				0		0
5678	5686				0		0

28		30				0		0
2590	2595				0		0
3090	3097				0		0
4143	4153				0		0
4655	4665				0		0
5167	5177				0		0
5679	5689				0		0
4144	4172				0		0
4656	4684				0		0
5168	5196				0		0
5680	5708				0		0

2591	2595				0		0
3092	3096				0		0
3636	3639				0		0
4148	4151				0		0
4660	4663				0		0
5172	5175				0		0
5684	5687				0		0

2071	2073				0		0
3091	3095				0		0
3634	3659				0		0
4146	4171				0		0
4658	4683				0		0
5170	5195				0		0
5682	5707				0		0
3633	3640				0		0
4145	4152				0		0
4657	4664				0		0
5169	5176				0		0
5681	5688				0		0

1041	1043				0		0
3635	3642				0		0
4147	4154				0		0
4659	4666				0		0
5171	5178				0		0
5683	5690				0		0

2580	2592				0		0
3628	3637				0		0
4140	4149				0		0
4652	4661				0		0
5164	5173				0		0
5676	5685				0		0

52		53					0		0
3730	3731				0		0
4242	4243				0		0
4754	4755				0		0
5778	5779				0		0

1558	1559				0		0
3732	3733				0		0
4244	4245				0		0
4756	4757				0		0
5268	5269				0		0
5780	5781				0		0
end

1
//Level	Runes	Money		Rate
2	4	10000000	100
3	5	13000000	95
4	5	16000000	90
5	5	19000000	85
6	6	22000000	80
7	7	25000000	75
8	8	28000000	70
9	9	31000000	65
10	10	34000000	60

//3	5	13000000	100
//4	5	16000000	100
//5	5	19000000	100
//6	6	22000000	100
//7	7	25000000	100
//8	8	28000000	100
//9	9	31000000	100
//10	10	34000000	100
end
