//SetItemDropRate  1/1000000
//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   PvPDamageRate     SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle   Comment
0         *       12          100              50             50                0                 0                1              0            //Lorencia
1         *       12          100              50             100               0                 0                1              0            //Dungeon
2         *       10          100              100            100               0                 0                1              0            //Devias
3         *       12          100              50             100               0                 0                1              0            //Noria
4         *       12          100              50             100               0                 0                1              0            //Lost Tower
6         *       12          100              50             50                0                 0                1              0            //Arena
7         *       12          100              100            100               0                 0                1              0            //Atlans
8         *       12          100              100            100               0                 0                1              0            //Tarkan
9         *       12          100              100            100               0                 0                1              0            //Devil Square 1
10        *       12          100              100            100               0                 0                1              0            //Icarus
11        *       12          100              100            100               0                 0                1              0            //Blood Castle 1
12        *       12          100              100            100               0                 0                1              0            //Blood Castle 2
13        *       12          100              100            100               0                 0                1              0            //Blood Castle 3
14        *       12          100              100            100               0                 0                1              0            //Blood Castle 4
15        *       12          100              100            100               0                 0                1              0            //Blood Castle 5
16        *       12          100              100            100               0                 0                1              0            //Blood Castle 6
17        *       12          100              100            100               0                 0                1              0            //Blood Castle 7
18        *       12          100              100            100               0                 0                0              0            //Chaos Castle 1
19        *       12          100              100            100               0                 0                0              0            //Chaos Castle 2
20        *       12          100              100            100               0                 0                0              0            //Chaos Castle 3
21        *       12          100              100            100               0                 0                0              0            //Chaos Castle 4
22        *       12          100              100            100               0                 0                0              0            //Chaos Castle 5
23        *       12          100              100            100               0                 0                0              0            //Chaos Castle 6
24        *       12          100              100            100               0                 0                1              0            //Kalima 1
25        *       12          100              100            100               0                 0                1              0            //Kalima 2
26        *       12          100              100            100               0                 0                1              0            //Kalima 3
27        *       12          100              100            100               0                 0                1              0            //Kalima 4
28        *       12          100              100            100               0                 0                1              0            //Kalima 5
29        *       10          100              100            100               0                 0                1              0            //Kalima 6
30        *       10          100              100            100               0                 0                1              0            //Castle Siege
31        *       12          100              100            100               100               1                1              0            //Land of Trials
32        *       12          100              100            100               0                 0                1              0            //Devil Square 2
33        *       12          100              50             100               0                 0                1              0            //Aida
34        *       15          300              100            100               0                 0                1              0            //Crywolf
36        *       12          100              100            100               0                 0                1              0            //Kalima 7
37        *       12          100              100            100               0                 0                1              0            //Kanturu 1
38        *       12          100              100            100               0                 0                1              0            //Kanturu 2
39        *       12          100              100            100               0                 0                1              0            //Kanturu 3
40        *       12          100              100            100               0                 0                1              0            //Silent
41        *       12          100              100            100               0                 0                1              0            //Barracks
42        *       12          100              100            100               0                 0                1              0            //Refuge
