//===================================================================================
//Index	Group	Type	X		Y		Text
//===================================================================================
//Lorencia NPC
0		0		0		121		232		"Dungeon Entrance"
0		0		0		1		38		"Entrance to Devias"
0		0		0		216		248		"Entrance to Noria"
0		0		0		242		15		"Entrance to Valley of Loren"
0		0		0		179		31		"Entrance to Deep Dungeon 1"
0		1		2		122		110		"Trainer"
0		1		4		62		130		"Wandering Merchant Alex"
0		1		4		183		137		"Wandering Merchant Harold"
0		1		4		127		86		"Potion Girl Amy"
0		1		3		116		141		"Hanzo the Blacksmith"
0		1		4		123		135		"Lumen the Barmaid"
0		1		4		118		113		"Pasi the Mage"
0		1		2		139		138		"Market Union Member Julia"
0		1		5		146		110		"Storage"
0		1		1		96		129		"Shadow Phantom Soldier"
0		1		1		132		165		"Shadow Phantom Soldier"
0		1		1		132		90		"Shadow Phantom Soldier"
0		1		1		170		129		"Shadow Phantom Soldier"
0		1		2		144		127		"Gens Duprian Steward"
0		1		5		147		145		"Storage"
0		1		2		114		132		"Lesnar"
0		1		5		130		127		"Lehap"

//Dungeon NPC
1		0		0		108		249		"Entrance to Lorencia"
1		0		0		238		150		"Entrance to Dungeon2"
1		0		0		232		128		"Entrance to Dungeon1"
1		0		0		1		18		"Lv.3 Dungeon West Gate"
1		0		0		5		35		"Lv.3 Dungeon East Gate"
1		0		0		1		85		"Lv.2 Dungeon West Gate"
1		0		0		29		127		"Lv.2 Dungeon East Gate"
1		0		0		113		234		"Field Portal A"
1		0		0		45		152		"Field Portal B"
1		0		0		237		108		"Field Portal A"
1		0		0		243		88		"Field Portal B"
//Masmorra
1		1		6		88		220		"BOSS"
1		1		6		44		245		"BOSS"
1		1		6		49		203		"BOSS"
1		1		6		74		167		"BOSS"
1		1		6		135		239		"BOSS"
1		1		6		213		226		"BOSS"
1		1		6		161		154		"BOSS"
1		1		6		242		172		"BOSS"
1		1		6		230		114		"BOSS"
1		1		6		174		120		"BOSS"
1		1		6		86		118		"BOSS"
1		1		6		71		55		"BOSS"
1		1		6		158		96		"BOSS"
1		1		6		244		74		"BOSS"
1		1		6		228		13		"BOSS"
1		1		6		159		42		"BOSS"
1		1		6		39		19		"BOSS"

//Devias NPC
2		0		0		244		34		"Entrance to Lorencia"
2		0		0		162		248		"Entrance to Elbeland"
2		0		0		0		250		"Entrance to LostTower"
2		0		0		51		92		"Entrance to Raklion"
2		1		2		209		30		"Messenger of Archangel"
2		1		2		219		9		"Messenger of Archangel"
2		1		4		226		25		"Caren the Barmaid"
2		1		2		225		41		"Wizard Izabel"
2		1		3		186		47		"Weapons Merchant Sofia"
2		1		2		215		45		"Royal Guard Captain Lorence"
2		1		5		218		63		"Storage"
2		1		1		219		73		"Shadow Phantom Soldier"
2		1		1		172		44		"Shadow Phantom Soldier"
2		1		2		229		221		"Jerint the Assistant"
2		1		4		32		31		"Natasha Firecracker Merchant"
2		1		2		240		53		"Lesnar"
2		1		2		183		32		"Sebina the Priest"
2		1		2		191		17		"Delgado"

//Devias Spot
2	1	6	224	229	"SPOT"
2	1	6	212	213	"SPOT"
2	1	6	239	213	"SPOT"
2	1	6	25	11	"SPOT"
2	1	6	23	40	"SPOT"
2	1	6	55	12	"SPOT"
2	1	6	56	43	"SPOT"
2	1	6	21	62	"SPOT"
2	1	6	20	90	"SPOT"
2	1	6	16	122	"SPOT"
2	1	6	31	152	"SPOT"
2	1	6	62	111	"SPOT"
2	1	6	74	143	"SPOT"
2	1	6	92	108	"SPOT"
2	1	6	114	145	"SPOT"
2	1	6	90	171	"SPOT"
2	1	6	121	201	"SPOT"
2	1	6	116	232	"SPOT"
2	1	6	160	200	"SPOT"
2	1	6	159	132	"SPOT"
2	1	6	147	99	"SPOT"
2	1	6	126	67	"SPOT"
2	1	6	118	27	"SPOT"
2	1	6	107	7	"SPOT"
2	1	6	101	51	"SPOT"
2	1	6	170	9	"SPOT"
2	1	6	162	40	"SPOT"
2	1	6	174	69	"SPOT"
2	1	6	241	84	"SPOT"
2	1	6	212	82	"SPOT"
2	1	6	240	131	"SPOT"
2	1	6	206	117	"SPOT"
2	1	6	180	112	"SPOT"
2	1	6	207	158	"SPOT"
2	1	6	225	179	"SPOT"
2	1	6	199	219	"SPOT"
2	1	6	202	186	"SPOT"
2	1	6	16	194	"SPOT"
2	1	6	29	226	"SPOT"
2	1	6	68	235	"SPOT"

//Noria NPC
3		0		0		151		2		"Entrance to Lorencia"
3		0		0		222		29		"Entrance to Aida"
3		0		0		242		241		"Entrance to Atlans"
3		1		2		171		105		"Charon"
3		1		4		173		125		"Elf Lala"
3		1		3		195		124		"Eo the Craftsman"
3		1		5		172		96		"Storage"
3		1		2		180		103		"Chaos Goblin"
3		1		1		167		118		"Shadow Phantom Soldier"
3		1		1		166		85		"Shadow Phantom Soldier"
3		1		1		201		129		"Shadow Phantom Soldier"
3		1		2		167		100		"Gens Vanert Steward"
3		1		2		196		113		"Slove Captain"
3		1		2		183		126		"Lesnar"
3		1		2		179		126		"Cherry Blossom Spirit"
4		0		0		164		0		"Entrance to Devias"
4		0		0		190		5		"Entrance to LostTower2"
4		0		0		165		165		"Entrance to LostTower3"
4		0		0		133		246		"Entrance to LostTower4"
4		0		0		133		136		"Entrance to LostTower5"
4		0		0		129		14		"Entrance to LostTower6"
4		0		0		4		7		"Entrance to LostTower7"
4		0		0		16		250		"Entrance to Icarus"
4		1		5		199		074		"Storage"
4		1		4		200		077		"Potion Girl Amy"

7		0		0		8		8		"Entrance to Noria"
7		0		0		9		18		"Entrance to Elbeland"
7		0		0		10		228		"Entrance to Tarkan"
7		1		5		13		15		"Storage"
7		1		4		23		25		"Potion Girl Amy"

7 1	6	47 20	"SPOT"
7 1	6	76 19	"SPOT"
7 1	6	66 54	"SPOT"
7 1	6	25 50	"SPOT"
7 1	6	22 85	"SPOT"
7 1	6	24 123	"SPOT"
7 1	6	68 86	"SPOT"
7 1	6	107 47	"SPOT"
7 1	6	127 14	"SPOT"
7 1	6	173 19	"SPOT"
7 1	6	233 18	"SPOT"
7 1	6	231 71	"SPOT"
7 1	6	211 58	"SPOT"
7 1	6	174 59	"SPOT"
7 1	6	126 88	"SPOT"
7 1	6	83 116	"SPOT"
7 1	6	224 128	"SPOT"
7 1	6	222 192	"SPOT"
7 1	6	183 99	"SPOT"
7 1	6	140 130	"SPOT"
7 1	6	96 154	"SPOT"
7 1	6	63 149	"SPOT"
7 1	6	27 166	"SPOT"
7 1	6	121 183	"SPOT"
7 1	6	174 148	"SPOT"
7 1	6	163 196	"SPOT"
7 1	6	72 214	"SPOT"

//Tarkan NPC
8		0		0		250		40		"Entrance to Atlans"
8		0		0		3		199		"Entrance to Kanturu_ruin"
8		0		0		179		40		"Entrance to Ferea"

//Tarkan Spot
8	1	6	194		111		"SPOT"
8	1	6	171		129		"SPOT"
8	1	6	161		114		"SPOT"
8	1	6	144		98		"SPOT"
8	1	6	135		71		"SPOT"
8	1	6	141		40		"SPOT"
8	1	6	116		37		"SPOT"
8	1	6	99		60		"SPOT"
8	1	6	78		85		"SPOT"
8	1	6	36		87		"SPOT"
8	1	6	34		140		"SPOT"
8	1	6	65		128		"SPOT"
8	1	6	77		154		"SPOT"
8	1	6	102		130		"SPOT"
8	1	6	111		160		"SPOT"
8	1	6	120		188		"SPOT"
8	1	6	89		198		"SPOT"
8	1	6	42		212		"SPOT"

10		0		0		13		8		"Entrance to LostTower"

//Land of Trials NPC
31		0		0		60		8		"Entrance to Valley of Loren"

//Aida NPC
33		0		0		72		10		"Entrance to Noria"
33		0		0		238		165		"Entrance to Karutan"
33		1		2		78		13		"Osbourne"
33		1		2		86		13		"Jerridon"

34		0		0		238		42		"Entrance to Valley of Loren"
34		1		2		228		48		"Apostle Devin"
34		1		2		62		239		"Werewolf Quarel"
34		1		2		135		47		"Trainer"
34		1		3		99		40		"Wandering Merchant Martin"
34		1		2		96		25		"Lahap"
34		1		3		145		14		"Hanzo the Blacksmith"
34		1		5		113		56		"Storage"

//Crywolf Spots
34	1	6	188	36	"SPOT"
34	1	6	210	74	"SPOT"
34	1	6	220	117	"SPOT"
34	1	6	220	190	"SPOT"
34	1	6	173	151	"SPOT"
34	1	6	155	84	"SPOT"
34	1	6	166	196	"SPOT"
34	1	6	134	217	"SPOT"
34	1	6	99	198	"SPOT"
34	1	6	123	136	"SPOT"
34	1	6	79	133	"SPOT"
34	1	6	60	211	"SPOT"
34	1	6	33	173	"SPOT"
34	1	6	18	119	"SPOT"
34	1	6	37	68	"SPOT"
34	1	6	74	23	"SPOT"
34	1	6	88	75	"SPOT"

//Kalima 7 Spots
36	1	6	24	16	"SPOT"
36	1	6	35	17	"SPOT"
36	1	6	48	20	"SPOT"
36	1	6	62	21	"SPOT"
36	1	6	72	18	"SPOT"
36	1	6	83	11	"SPOT"
36	1	6	95	11	"SPOT"
36	1	6	102	20	"SPOT"
36	1	6	109	31	"SPOT"
36	1	6	112	47	"SPOT"
36	1	6	104	62	"SPOT"
36	1	6	113	84	"SPOT"
36	1	6	99	84	"SPOT"
36	1	6	81	88	"SPOT"
36	1	6	57	70	"SPOT"

37		0		0		16		222		"Entrance to Tarkan"
37		0		0		89		91		"Entrance to Kanturu Relics"
37		1		5		26		219		"Storage"
37		1		4		36		216		"Potion Girl Amy"

38		0		0		66		105		"Entrance to Kanturu Ruins"
38		0		0		141		186		"Entrance Equipment"
38		1		5		75		110		"Storage"
38		1		4		79		110		"Potion Girl Amy"

41		1		2		119		168		"Gatekeeper"

//Illusion Temple
45		0		6		169		85		" "
45		0		6		136		101		" "
45		0		6		151		119		" "
45		0		6		150		88		" "
45		0		6		165		102		" "
45		0		6		173		67		" "
45		0		6		187		81		" "
45		0		6		187		51		" "
45		0		6		203		67		" "
45		0		6		133		121		" "
45		0		6		206		48		" "

//Elbeland NPC
51		0		0		248		149		"Entrance to Atlans"
51		0		0		19		27		"Entrance to Devias"
51		1		2		37		241		"Lahap"
51		1		4		44		229		"Potion Merchant Silvia"
51		1		3		29		236		"Weapons Merchant Rhea"
51		1		4		36		219		"Magic Shop Marce"
51		1		1		43		191		"Shadow Phantom Soldier"
51		1		1		57		232		"Shadow Phantom Soldier"
51		1		1		73		220		"Shadow Phantom Soldier"
51		1		5		50		229		"Storage"
51		1		2		55		243		"Mirage"
51		1		2		46		243		"Seed Master"
51		1		2		50		243		"Seed Researcher"
51		1		2		22		225		"Moss"
51		1		2		20		214		"David"
51		1		2		24		229		"Monica"
51		1		2		32		239		"Priest James"
51		1		2		49		216		"Lugard"

//Swamp Calm NPC
56		0		0		139		125		"Entrance to Hunting Ground(1)"
56		0		0		124		109		"Entrance to Hunting Ground(2)"
56		0		0		140		95		"Entrance to Hunting Ground(3)"
56		0		0		150		109		"Entrance to Hunting Ground(4)"
56		0		0		185		188		"Entrance to Save Zone"
56		0		0		56		177		"Entrance to Save Zone"
56		0		0		68		52		"Entrance to Save Zone"
56		0		0		197		13		"Entrance to Save Zone"
56		1		5		134		104		"Storage"

//Raklion NPC
57		0		0		224		214		"Entrance to Devias"
57		0		0		169		22		"Entrance to Hatchery"
57		0		0		209		218		"Entrance to Nixies Lake"
57		1		4		215		210		"Potion Girl Amy"
57		1		5		218		210		"Storage"

//Raklion Spot
57	1	6	120	18	"SPOT"
57	1	6	139	48	"SPOT"
57	1	6	88	32	"SPOT"
57	1	6	54	42	"SPOT"
57	1	6	35	67	"SPOT"
57	1	6	58	81	"SPOT"
57	1	6	34	95	"SPOT"
57	1	6	34	127	"SPOT"
57	1	6	38	154	"SPOT"
57	1	6	67	141	"SPOT"
57	1	6	54	184	"SPOT"
57	1	6	30	202	"SPOT"
57	1	6	46	230	"SPOT"
57	1	6	82	117	"SPOT"
57	1	6	129	96	"SPOT"
57	1	6	143	114	"SPOT"
57	1	6	123	144	"SPOT"
57	1	6	117	178	"SPOT"
57	1	6	87	212	"SPOT"
57	1	6	123	214	"SPOT"
57	1	6	152	220	"SPOT"
57	1	6	168	185	"SPOT"
57	1	6	174	136	"SPOT"
57	1	6	202	152	"SPOT"
57	1	6	234	125	"SPOT"
57	1	6	222	94	"SPOT"
57	1	6	191	102	"SPOT"
57	1	6	166	74	"SPOT"
57	1	6	213	44	"SPOT"

//Vulcanus NPC
63		1		2		122		135		"Doorkeeper Titus"
63		1		5		116		126		"Storage"
63		1		4		124		126		"Potion Girl Amy"
63		1		6		234		52		"SPOT X"
63		1		6		214		48		"SPOT X"
63		1		6		211		27		"SPOT X"
63		1		6		192		18		"SPOT X"
63		1		6		193		44		"SPOT X"
63		1		6		172		27		"SPOT X"
63		1		6		148		16		"SPOT X"
63		1		6		157		55		"SPOT X"
63		1		6		179		72		"SPOT X"
63		1		6		142		78		"SPOT X"
63		1		6		177		109		"SPOT X"
63		1		6		198		117		"SPOT X"
63		1		6		217		114		"SPOT X"
63		1		6		234		120		"SPOT X"
63		1		6		207		133		"SPOT X"
63		1		6		183		170		"SPOT X"
63		1		6		201		189		"SPOT X"
63		1		6		228		187		"SPOT X"
63		1		6		210		208		"SPOT X"
63		1		6		220		228		"SPOT X"
63		1		6		177		227		"SPOT X"
63		1		6		171		193		"SPOT X"
63		1		6		145		192		"SPOT X"
63		1		6		144		218		"SPOT X"
63		1		6		100		220		"SPOT X"
63		1		6		92		181		"SPOT X"
63		1		6		83		201		"SPOT X"
63		1		6		68		186		"SPOT X"
63		1		6		72		221		"SPOT X"
63		1		6		40		228		"SPOT X"
63		1		6		36		200		"SPOT X"
63		1		6		32		185		"SPOT X"
63		1		6		65		163		"SPOT X"
63		1		6		59		139		"SPOT X"
63		1		6		28		129		"SPOT X"
63		1		6		35		88		"SPOT X"
63		1		6		31		61		"SPOT X"
63		1		6		64		64		"SPOT X"
63		1		6		34		42		"SPOT X"
63		1		6		75		83		"SPOT X"
63		1		6		46		18		"SPOT X"
63		1		6		74		23		"SPOT X"
63		1		6		97		27		"SPOT X"
63		1		6		81		43		"SPOT X"
63		1		6		90		60		"SPOT X"
63		1		6		101		76		"SPOT X"
63		1		6		116		84		"SPOT X"
63		1		6		114		62		"SPOT X"
79		1		5		45		75		"Storage"
79		1		5		45		77		"Storage"
79		1		4		60		39		"Jeweler Raul"
79		1		4		43		46		"Christine the Merchant"
79		1		2		53		72		"Julia"
79		1		2		38		64		"Personal Shop Board"
79		1		2		68		73		"Personal Shop Board"
79		1		2		14		59		"Lugard"
79		1		2		14		67		"Mirage"
79		1		2		44		62		"Ellin"
79		1		2		186		93		"Archangel's Spirit"
79		1		2		221		95		"Charon"
79		1		2		234		30		"Jerint"
79		1		2		168		57		"Lugard"
79		1		5		197		66		"Storage"
79		1		5		169		51		"Storage"
79		1		5		230		97		"Storage"
79		1		5		185		89		"Storage"
79		1		5		188		16		"Storage"
79		1		5		234		23		"Storage"
79		1		2		215		56		"Priest James"
79		1		2		217		62		"Chaos Goblin"
79		1		4		208		62		"Lumen the Barmaid"
79		1		2		194		95		"Chaos Goblin"
79		1		4		190		95		"Lumen the Barmaid"
79		1		2		226		96		"Chaos Goblin"
79		1		4		228		93		"Lumen the Barmaid"
79		1		2		230		30		"Chaos Goblin"
79		1		4		231		23		"Lumen the Barmaid"
79		1		4		194		13		"Lumen the Barmaid"
79		1		4		169		53		"Lumen the Barmaid"
79		1		4		208		62		"Lumen the Barmaid"
79		1		4		190		95		"Lumen the Barmaid"
79		1		4		226		94		"Lumen the Barmaid"
79		1		2		188		21		"Mirage"
79		1		2		198		49		"Julia"
79		1		2		236		59		"Maze of Dimensions"

80		0		0		115		45		"Entrance to Aida"
80		0		0		187		212		"Entrance to North Karutan"
80		1		4		121		102		"Leina General Goods Merchant"
80		1		3		117		126		"Weapons Merchant Bolo"
80		1		5		123		132		"Storage"
80		1		5		122		96		"Storage"
80		1		5		157		127		"Storage"
80	1	6 	123 	50	"SPOT"
80	1	6 	140 	72	"SPOT"
80	1	6 	166 	56	"SPOT"
80	1	6 	166 	86	"SPOT"
80	1	6 	196 	37	"SPOT"
80	1	6 	180 	113	"SPOT"
80	1	6 	206 	100	"SPOT"
80	1	6 	223 	169	"SPOT"
80	1	6 	193 	179	"SPOT"
80	1	6 	169 	174	"SPOT"
80	1	6 	135 	163	"SPOT"
80	1	6 	104 	181	"SPOT"
80	1	6 	61 		174	"SPOT"
80	1	6 	29 		146	"SPOT"
80	1	6 	41 		91	"SPOT"
80	1	6 	92 		71	"SPOT"
80	1	6 	92 		114	"SPOT"
80	1	6 	59 		124	"SPOT"


81		0		0		162		9		"Entrance to South Karutan"
81	1	6	162 	33	"SPOT"
81	1	6	184 	50	"SPOT"
81	1	6	219 	47	"SPOT"
81	1	6	201 	81	"SPOT"
81	1	6	210 	127	"SPOT"
81	1	6	142 	112	"SPOT"
81	1	6	142 	74	"SPOT"
81	1	6	123 	59	"SPOT"
81	1	6	99 		87	"SPOT"
81	1	6	78 		43	"SPOT"
81	1	6	65 		125	"SPOT"
81	1	6	64 		174	"SPOT"
81	1	6	137 	158	"SPOT"

91		0		0		28		169		"Entrance to Alcmaru"
91		0		0		80		205		"Entrance to Ubaid"
91		0		0		52		162		"Entrance to Deventer"
