//Index   Stage   Value   ItemRate   ItemCount   BonusItemRate   BonusItemIndex   BonusItemCount
//Azul
605       1       2       10000      1           *               *                *
605       2       2       8000       3           *               *                *
605       3       2       7000       7           *               *                *
605       4       2       6000       16          *               *                *
605       5       2       5000       33          7000            7513             1
//Roxa
606       1       4       10000      2           *               *                *
606       2       4       7500       6           *               *                *
606       3       4       6000       15          *               *                *
606       4       4       4500       34          *               *                *
606       5       4       3000       67          6000            7513             5
//Gold
607       1       8       10000      4           *               *                *
607       2       8       7000       12          *               *                *
607       3       8       5000       29          *               *                *
607       4       8       3000       65          *               *                *
607       5       8       1000       125         5000            7513             10
end
