//   0 = eShinyGreen, 1 = eGold, 2 = eWhite, 3 = eWhite180, 4 = eOrange, 5 = eGray100, 6 = eGray150, 7 = eBlowPink, 8 = eRed, 9 = eExcellent, 10 = eAncient, 11 = eSocket, 12 = eBlue, 13 = eYellow, 14 = eBrown

//Temporada 21
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	Bonus	WcoinC	AL_Coin	Rank					Color																		
	412	*	1200.0	0	120000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Dark Elf Pirocuda"		7

//Life Stone - Siege
	278	*	1000.0	0	0		0		1		10000	30000	500		10		0		0		0		*		0		0		0		*		"Life Stone"			2
	
//Masmorra			
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	Bonus	WcoinC	AL_Coin	Rank					Color																		
	18	*	1500.0	0	200000	33		60		5000	59999	800		40		0		0		0		*		10000	500		0		1		"Gorgon Guardian"		4
	785	*	1800.0	0	200000	33		60		5000	49999	900		40		0		0		0		*		15000	1000	0		1		"Dark Iron Knight"		4
	656	*	2100.0	0	200000	33		60		5000	39999	1200	40		0		0		0		*		20000	1500	0		1		"Golden Hell Maine"		1
	657	*	2100.0	0	200000	33		60		20000	32000	1500	40		0		0		0		*		50000	2000	0		1		"Golden Kundun"			1

//Boss Top
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	459	*	2100.0	0	200000	80		120		20000	50000	1500	20		0		0		0		*		100000	2000	0		1		"Selupan"				12
	275	*	2100.0	0	200000	33		60		20000	50000	1500	20		0		0		0		*		5000	2000	0		1		"Kundun"				12
	349	*	750.0	0	200000	33		60		20000	50000	1500	20		0		0		0		*		5000	2000	0		1		"Balgass"				12
	734	*	2100.0	0	200000	33		60		20000	50000	1500	20		0		0		0		*		5000	2000	0		1		"Lord of Ferea"			12

//Boss Médios
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	77	*	750.0	0	100000	20		40		40000	80000	1000	20		3600	0		0		*		1000	100		0		1		"Dark Phoenix"			4
	135	*	500.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"White Wizard"			12
	42	*	500.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Red Dragon"			8
	295	*	500.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Erohim"				3
	561	*	1000.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Medusa"				9
	361	*	500.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Nightmare"				4
	340	*	200.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Dark Elf"				2
	733	*	1000.0	0	100000	20		40		40000	80000	1000	20		3600	0		0		*		1000	100		0		1		"Ferea General"			9

//Boss Noobs
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	56	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Death Bone"			12
	55	*	10.0	0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Skeleton King"			13	
	136	*	5.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Orc Soldier"			12
	137	*	5.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Orc Archer"			12
	362	*	20.0	0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Maya Hand"				12
	363	*	20.0	0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Maya Hand"				12
	681	*	5.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Evomon"				12
	674	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Moon Rabbit"			12
	
//Golden Top
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	82	*	2100.0	0	200000	33		60		20000	40000	1200	20		0		0		0		*		2000	1000	0		1		"Golden Tantalos"		13
	501	*	2100.0	0	200000	33		60		20000	40000	1200	20		0		0		0		*		2000	1000	0		1		"Golden Great Dragon"	13
	655	*	2100.0	0	200000	33		60		20000	40000	1200	20		0		0		0		*		2000	1000	0		1		"Golden Erohim"			13
	690	*	2100.0	0	200000	80		110		10000	39000	1200	20		200		0		0		*		50000	1000	0		1		"Special Evomon"		13

//Golden Médios
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	53	*	300.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Titan"			1
	499	*	300.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Iron Knight"	1
	80	*	300.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Lizard King"	1
	494	*	300.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Devil"			1
	497	*	300.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Satyros"		1
	498	*	300.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Twin Tail"		1

//Golden Noobs
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	43	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Budge Dragon"	1
