//Section	Type	Level	Dur		Skill	Luck	Option	Exc	Coment
14			0 		0 		10	 	0	 	 0	 	0		 0	 //Aplle
14			1 		0 		255	 	0	 	 0	 	0		 0	 //Smal Healing
14			2 		0 		255	 	0	 	 0	 	0		 0	 //Healing Potion
14			3 		0 		255	 	0	 	 0	 	0		 0	 //Large Healing Potion
14			4 		0 		255	 	0	 	 0	 	0		 0	 //Small mana
14			5 		0 		255	 	0	 	 0	 	0		 0	 //Mana Potion
14			6 		0 		255	 	0	 	 0	 	0		 0	 //Large Mana Potion
14			8 		0 		255	 	0	 	 0	 	0		 0	 //Antidote
4           7      0       255   	0       0      0        0	//Bolt
4           7      1       255   	0       0      0        0	//Bolt+1
4           7      2       255   	0       0      0        0	//Bolt+2
4           7      3       255   	0       0      0        0	//Bolt+3
4           15     0       255   	0       0      0        0	//Arrow
4           15     1       255   	0       0      0        0	//Arrow+1
4           15     2       255   	0       0      0        0	//Arrow+2	
4           15     3       255   	0       0      0        0	//Arrow+3
//14          10     0       1     	0       0      0        0	//Town Portal Scroll
//14          9      0       1     	0       0      0        0	//Ale
//13          29     0       1     	0       0      0        0	//Armor of Guardsman
//12          70     0       1     	0       0      0        0	//Sphere


end
