//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14          0      0       1     0       0      0        0
14          1      0       255   0       0      0        0
14          2      0       255   0       0      0        0
14          3      0       255   0       0      0        0
14          4      0       255   0       0      0        0
14          5      0       255   0       0      0        0
14          6      0       255   0       0      0        0
14          8      0       255   0       0      0        0

12          8      0       1     0       0      0        0
12          9      0       1     0       0      0        0
12          10     0       1     0       0      0        0
12          11     0       1     0       0      0        0
12          11     1       1     0       0      0        0
12          11     2       1     0       0      0        0
12          11     3       1     0       0      0        0
12          11     4       1     0       0      0        0
12          11     5       1     0       0      0        0
12          11     6       1     0       0      0        0
12          45     0       1     0       0      0        0
12          17     0       1     0       0      0        0
12          18     0       1     0       0      0        0
12          46     0       1     0       0      0        0

14          10     0       1     0       0      0        0
4           7      0       255   0       0      0        0
4           7      1       255   0       0      0        0
4           7      2       255   0       0      0        0
4           7      3       255   0       0      0        0
4           15     0       255   0       0      0        0
4           15     1       255   0       0      0        0
4           15     2       255   0       0      0        0
4           15     3       255   0       0      0        0

//13          29     0       1     0       0      0        0	//Armor of Guardsman
//12          70     0       1     0       0      0        0	//Sphere
end

