//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
1           0      1       0     0       1      1        0
0           1      0       0     0       1      1        0
1           1      1       0     0       1      1        0
0           2      2       0     1       1      1        0
1           4      1       0     0       1      1        0
0           0      1       0     0       1      1        0
5           0      1       0     0       1      1        0
5           14     1       0     0       1      1        0
5           15     2       0     0       1      1        0
5           16     3       0     0       1      1        0

15			19		0		0		0		0		0		0
15			20		0		0		0		0		0		0
15			21		0		0		0		0		0		0
15			22		0		0		0		0		0		0
15			23		0		0		0		0		0		0
15			24		0		0		0		0		0		0
15			26		0		0		0		0		0		0
15			27		0		0		0		0		0		0

end
