//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
0           9      3       0     1       1      1        0      
0           11     3       0     1       1      1        0     
0           15     3       0     1       1      1        0     
0           13     3       0     1       1      1        0     
0           12     3       0     1       1      1        0     
0           14     3       0     1       1      1        0     
4           12     3       0     1       1      1        0     
3           8      3       0     1       1      1        0     
3           9      3       0     1       1      1        0   
4           5      3       0     1       1      1        0   
4           13     3       0     1       1      1        0  
    
end

