//Index	Group	Rank	MinLvl	MaxLvl	MainValue1	MainValue2	MainValue3	MainValue4	MainValue5	MainValue6	MainValue7	MainValue8	MainValue9	MainValue10	MainValue11	MainValue12	MainValue13	MainValue14	MainValue15	MainValue16	MainValue17	MainValue18	MainValue19	MainValue20	RelatedSkill	ReplaceSkill	RequireSkill	RequireSkill	DW	DK	FE	MG	DL	SU	RF	GL
300		1		1		1		20		12.04		20.18		27.76		34.80		41.31		47.33		52.86		57.94		62.57		66.78		70.59		74.02		77.09		79.82		82.23		84.34		86.16		87.73		89.05		90.16		0				0				0				0				1	1	1	1	1	1	0	1
301		1		1		1		20		614			1029		1415		1774		2106		2413		2695		2954		3190		3405		3600		3775		3931		4070		4193		4301		4394		4474		4541		4598		0				0				0				0				4	4	4	4	4	4	0	4
302		1		2		1		20		511			857			1179		1478		1755		2011		2246		2462		2659		2838		3000		3145		3276		3392		3494		3584		3661		3728		3784		3831		0				0				0				0				6	6	6	6	6	6	0	6
303		1		2		1		20		1.81		3.03		4.16		5.22		6.20		7.10		7.93		8.69		9.39		10.02		10.59		11.10		11.56		11.97		12.33		12.65		12.92		13.16		13.36		13.52		0				0				0				0				8	8	8	8	8	8	0	8

305		1		3		1		20		12.04		20.18		27.76		34.80		41.31		47.33		52.86		57.94		62.57		66.78		70.59		74.02		77.09		79.82		82.23		84.34		86.16		87.73		89.05		90.16		0				0				300				0				9	9	9	9	9	9	0	9
306		1		3		1		20		1.20		2.02		2.78		3.48		4.13		4.73		5.29		5.79		6.26		6.68		7.06		7.40		7.71		7.98		8.22		8.43		8.62		8.77		8.91		9.02		0				0				302				0				10	10	10	10	10	10	0	10
307		1		3		1		20		1.20		2.02		2.78		3.48		4.13		4.73		5.29		5.79		6.26		6.68		7.06		7.40		7.71		7.98		8.22		8.43		8.62		8.77		8.91		9.02		0				0				303				0				12	12	12	12	12	12	0	12

309		1		4		1		20		60			100			138			173			206			236			264			289			312			333			352			370			385			399			411			421			430			438			445			450			0				0				0				0				14	14	14	14	14	14	0	14
310		1		4		1		20		1.20		2.02		2.78		3.48		4.13		4.73		5.29		5.79		6.26		6.68		7.06		7.40		7.71		7.98		8.22		8.43		8.62		8.77		8.91		9.02		0				0				307				0				16	16	16	16	16	16	0	16

312		1		5		1		20		12.04		20.18		27.76		34.80		41.31		47.33		52.86		57.94		62.57		66.78		70.59		74.02		77.09		79.82		82.23		84.34		86.16		87.73		89.05		90.16		0				0				305				0				17	17	17	17	17	17	0	17
313		1		5		1		20		1.20		2.02		2.78		3.48		4.13		4.73		5.29		5.79		6.26		6.68		7.06		7.40		7.71		7.98		8.22		8.43		8.62		8.77		8.91		9.02		0				0				309				0				18	18	18	18	18	18	0	18

315		1		6		1		20		6			11			15			19			23			27			30			33			36			39			41			43			45			46			48			49			50			51			52			53			0				0				0				0				23	23	23	23	23	23	0	23
