//
//	SKILL_ELEMENT_ICE = 0,
//	SKILL_ELEMENT_POISON = 1,
//	SKILL_ELEMENT_LIGHTNING = 2,
//	SKILL_ELEMENT_FIRE = 3,
//	SKILL_ELEMENT_EARTH = 4,
//	SKILL_ELEMENT_WIND = 5,
//	SKILL_ELEMENT_WATER = 6
//
//Index	Name	Damage	MP	AG	Range	Radio	Delay	Type	Effect	ReqLevl	ReqEner	ReqLead	RqKilCn	ReqGuildStatus	Element	DW	DK	FE	MG	DL	SU	RF	GL
1	"Poison"	12	42	0	6	0	0	1	55	0	0	0	0	0	5	1	0	0	1	0	0	0	0
2	"Meteorite"	21	12	0	6	0	0	4	0	0	0	0	0	0	3	1	0	0	1	0	1	0	0
3	"Lightning"	17	15	0	6	6	300	2	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0
4	"Fire Ball"	8	3	0	6	0	0	3	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0
5	"Flame"	25	50	0	6	6	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
6	"Teleport"	0	30	0	0	0	3000	*	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
7	"Ice"	10	38	0	6	0	0	0	56	0	0	0	0	0	2	1	0	0	1	0	1	0	0
8	"Twister"	35	60	0	6	6	0	5	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0
9	"Evil Spirit"	45	90	0	0	6	0	*	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0
10	"Hellfire"	120	160	0	0	6	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
11	"Power Wave"	14	5	0	6	0	0	*	0	0	0	0	0	0	4	1	0	0	1	0	1	0	0
12	"Aqua Beam"	80	140	0	6	6	0	6	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0
13	"Cometfall"	70	150	0	3	6	0	2	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0
14	"Inferno"	100	200	0	0	6	0	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
15	"Teleport Ally"	0	90	25	0	0	0	*	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
16	"Soul Barrier"	0	70	22	6	0	0	*	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0
17	"Energy Ball"	3	1	0	6	0	0	*	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0
18	"Defense"	0	30	0	0	0	0	*	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1
19	"Falling Slash"	0	9	0	3	0	300	5	0	0	0	0	0	0	4	0	1	0	1	1	1	1	0
20	"Lunge"	0	9	0	2	0	300	5	0	0	0	0	0	0	4	0	1	0	1	1	1	0	1
21	"Uppercut"	0	8	0	2	0	300	5	0	0	0	0	0	0	4	0	1	0	1	1	1	0	0
22	"Cyclone"	0	9	0	2	0	300	5	0	0	0	0	0	0	4	0	1	0	1	1	1	0	0
23	"Slash"	0	10	0	2	0	300	5	0	0	0	0	0	0	4	0	1	0	1	1	1	0	0
24	"Triple Shot"	0	5	0	6	6	0	*	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0
26	"Heal"	0	20	0	6	0	0	*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
27	"Greater Defense"	0	30	0	6	0	0	*	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
28	"Greater Damage"	0	40	0	6	0	0	*	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
30	"Summon Goblin"	0	40	0	0	0	0	*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
31	"Summon Stone Golem"	0	70	0	0	0	0	*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
32	"Summon Assassin"	0	110	0	0	0	0	*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
33	"Summon Elite Yeti"	0	160	0	0	0	0	*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
34	"Summon Dark Knight"	0	200	0	0	0	0	*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
35	"Summon Bali"	0	250	0	0	0	0	*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
36	"Summon Soldier"	0	350	0	0	0	0	*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
38	"Decay"	95	110	7	6	4	0	1	55	0	0	0	0	0	5	2	0	0	0	0	0	0	0
39	"Ice Storm"	80	100	5	6	4	0	0	56	0	0	0	0	0	2	2	0	0	1	0	0	0	0
40	"Nova"	0	180	45	0	6	0	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
41	"Twisting Slash"	0	0	0	0	3	0	5	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0
42	"Rageful Blow"	60	25	20	0	4	0	4	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0
43	"Death Stab"	70	15	12	2	2	0	5	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0
44	"Crescent Moon Slash"	90	22	15	4	0	0	*	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
45	"Lance"	90	150	10	6	0	0	*	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
46	"Starfall"	120	20	15	8	0	0	*	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
47	"Crescent Moon Slash"	15	8	0	0	6	0	*	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0
48	"Swell Life"	0	22	24	0	5	0	*	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0
49	"Fire Breath"	30	9	0	3	0	0	*	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0
50	"Flame of Evil(Monstr)"	0	0	0	0	6	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	"Ice Arrow"	105	10	12	8	0	0	0	57	0	0	0	0	0	2	0	0	2	0	0	0	0	0
52	"Penetration"	70	7	9	6	6	0	5	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0
55	"Fire Slash"	80	15	20	2	6	0	1	58	0	0	0	0	0	5	0	0	0	1	0	0	0	0
56	"Power Slash"	0	15	0	0	5	0	*	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0
57	"Spiral Slash"	75	20	15	5	0	0	*	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
60	"Æ÷½º"	10	10	0	4	0	0	*	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0
61	"Fire Burst"	100	25	0	6	3	0	*	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
62	"Earthshake"	150	0	50	0	5	8000	4	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0
63	"Summon"	0	70	30	0	0	10000	*	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
64	"Increase Critical Dmg"	0	50	50	6	6	0	*	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0
65	"Electric Spike"	250	0	100	0	6	5000	*	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0
66	"Force Wave"	50	10	0	4	3	0	*	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0
67	"Stun"	0	70	50	0	5	0	*	61	0	0	0	4	32	0	1	1	1	1	1	1	1	1
68	"Cancel Stun"	0	25	30	0	5	0	*	0	0	0	0	2	32	0	1	1	1	1	1	1	1	1
69	"Swell Mana"	0	35	30	0	5	0	*	9	0	0	0	4	32	0	1	1	1	1	1	1	1	1
70	"Invisibility"	0	80	60	6	0	0	*	18	0	0	0	5	192	0	1	1	1	1	1	1	1	1
71	"Cancel Invisibility"	0	40	30	0	5	0	*	0	0	0	0	2	192	0	1	1	1	1	1	1	1	1
72	"Abolish Magic"	0	90	70	0	5	0	*	0	0	0	0	8	128	0	0	0	0	0	1	0	0	0
73	"Mana Rays"	85	130	7	6	0	0	*	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
74	"Fire Blast"	150	30	10	6	0	0	*	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
75	"Sacrifice"	0	100	35	0	5	0	*	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
76	"Plasma Storm"	60	50	20	0	5	1500	*	0	0	0	0	0	0	0	2	2	2	1	1	2	1	1
77	"Infinity Arrow"	0	50	10	0	0	200	*	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0
78	"Fire Scream"	130	45	10	4	6	0	*	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
79	"Explosion"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
200	"Summon Monster"	0	40	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	"Magic Attack Immunity"	0	40	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
202	"Physical Attack Immun"	0	40	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210	"Spell of Protection"	0	30	0	0	0	0	0	0	0	0	0	5	0	0	1	1	1	1	1	1	1	1
211	"Spell of Restriction"	0	30	0	3	0	0	0	0	0	0	0	5	0	0	1	1	1	1	1	1	1	1
212	"Spell of Pursuit"	0	30	0	0	0	0	0	0	0	0	0	10	0	0	1	1	1	1	1	1	1	1
213	"Shied-Burn"	0	30	0	3	0	0	0	0	0	0	0	5	0	0	1	1	1	1	1	1	1	1
214	"Drain Life"	35	50	0	6	0	0	*	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0
215	"Chain Lightning"	70	85	0	6	3	0	2	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
217	"Damage Reflection"	0	40	10	6	0	5000	*	71	0	0	0	0	0	0	0	0	0	0	0	1	0	0
218	"Berserker"	0	100	50	0	0	5000	*	81	0	0	0	0	0	0	0	0	0	0	0	1	0	0
219	"Sleep"	0	20	3	6	0	0	*	72	0	0	0	0	0	0	0	0	0	0	0	1	0	0
221	"Weakness"	0	50	15	0	5	4000	*	76	0	0	0	0	0	0	0	0	0	0	0	1	0	0
222	"Innovation"	0	70	15	0	5	4000	*	77	0	0	0	0	0	0	0	0	0	0	0	1	0	0
223	"Explosion"	40	90	5	6	3	4000	3	75	0	0	0	0	0	1	0	0	0	0	0	1	0	0
224	"Requiem"	65	110	10	6	4	4000	5	74	0	0	0	0	0	3	0	0	0	0	0	1	0	0
225	"Pollution"	80	120	15	6	5	4000	2	56	0	0	0	0	0	4	0	0	0	0	0	1	0	0
230	"Lightning Shock"	95	115	7	0	5	0	2	85	0	0	0	0	0	4	0	0	0	0	0	1	0	0
232	"Strike of Destruction"	110	30	24	6	3	0	0	86	0	0	0	0	0	2	0	2	0	0	0	0	0	0
233	"Expansion of Wizardry"	0	200	50	0	0	0	*	82	0	0	0	0	0	0	2	0	0	0	0	0	0	0
234	"Recovery"	0	40	10	6	0	0	*	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
235	"Multi-Shot"	40	10	7	6	6	0	*	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0
236	"Flame Strike"	140	20	25	0	5	0	3	83	0	0	0	0	0	1	0	0	0	1	0	0	0	0
237	"Gigantic Storm"	110	120	10	0	6	0	5	84	0	0	0	0	0	4	0	0	0	1	0	0	0	0
238	"Chaotic Diseier"	190	50	15	0	6	0	*	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0
239	"Doppeganger Self Explosion"	140	20	25	0	3	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
260	"Killing Blow"	0	9	0	2	0	0	4	76	0	0	0	0	0	3	0	0	0	0	0	0	1	0
261	"Beast Uppercut"	0	9	0	2	0	0	3	58	0	0	0	0	0	1	0	0	0	0	0	0	1	0
262	"Chain Drive"	0	15	20	4	0	700	0	86	0	0	0	0	0	2	0	0	0	0	0	0	1	0
263	"Dark Side"	0	0	0	6	6	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
264	"Dragon Roar"	0	50	30	3	5	700	4	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
265	"Dragon Slasher"	0	100	100	4	0	3000	5	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0
266	"Ignore Defense"	0	50	10	0	0	0	*	129	0	0	0	0	0	0	0	0	0	0	0	0	1	0
267	"Increase Health"	0	50	10	0	5	0	*	130	0	0	0	0	0	0	0	0	0	0	0	0	1	0
268	"Increase Block"	0	50	10	0	5	0	*	131	0	0	0	0	0	0	0	0	0	0	0	0	1	0
269	"Charge"	90	20	15	4	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
270	"Phoenix Shot"	0	30	0	4	3	1200	*	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0
271	"Spin Step"	100	12	0	2	2	300	*	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
272	"Circle Shield"	0	100	50	2	0	0	*	216	0	0	0	0	0	0	0	0	0	0	0	0	0	1
273	"Obsidian"	0	50	50	0	0	0	*	217	0	0	0	0	0	0	0	0	0	0	0	0	0	1
274	"Magic Pin"	80	30	20	2	2	300	*	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
275	"Clash"	50	50	50	2	0	10000	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
276	"Harsh Strike"	100	12	0	6	3	300	*	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
277	"Shining Peak"	70	0	0	4	4	0	*	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1
278	"Wrath"	0	100	50	0	0	400	*	218	0	0	0	0	0	0	0	0	0	0	0	0	0	1
279	"Breche"	400	40	20	0	3	0	*	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
