//===============================================================================================================================================
//Message													Type	Count	Opacity	Delay	Red	Green	Blue	Speed	RepeatTime
//===============================================================================================================================================
" "															0		0		0		0		0	0		0		0		130
"Say NO to purchases with transactions outside the game"	0		0		0		0		0	0		0		0		0
"It is forbidden, and you can lose items and money."		0		0		0		0		0	0		0		0		0

" "															0		0		0		0		0	0		0		0		130
"Do you already know the available commands in IconeMU?"	0		0		0		0		0	0		0		0		0
"Don't mess up, access [comandos.iconemu.com]."				0		0		0		0		0	0		0		0		0

" "															0		0		0		0		0	0		0		0		130
"Have you already joined our WhatsApp Announcements group?"	0		0		0		0       0	0		0		0		0
"If you haven't joined, join now to know everything!"		0		0		0		0		0	0		0		0		0
"Access [grupo.iconemu.com] in your browser."				0		0		0		0		0	0		0		0		0

" "															0		0		0		0		0	0		0		0		130
"Are you already in our Discord channel?"					0		0		0		0		0	0		0		0		0
"Access [discord.iconemu.com] in your browser."				0		0		0		0		0	0		0		0		0

" "															0		0		0		0		0	0		0		0		130
"Follow the latest broadcasts and tutorials."				0		0		0		0		0	0		0		0		0
"[twitch.iconemu.com] and [youtube.iconemu.com]."			0		0		0		0		0	0		0		0		0

" "															0		0		0		0		0	0		0		0		130
"The best way to level up in the game is to join."			0		0		0		0		0	0		0		0		0
"To a guild. Access [recruta.iconemu.com] in your browser."	0		0		0		0		0	0		0		0		0

" "															0		0		0		0		0	0		0		0		130
"Any questions, problems, suggestions, complaints?"			0		0		0		0		0	0		0		0		0
"Contact us on WhatsApp! Access [zap.iconemu.com]"	        0		0		0		0		0	0		0		0		0

" "															0		0		0		0		0	0		0		0		130
"Is your PC suffering from lag? Give it some vitamins!"		0		0		0		0		0	0		0		0		0
"Access [lag.iconemu.com] in your browser."				    0		0		0		0		0	0		0		0		0

end
