12:14:47 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
12:14:51 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
12:15:34 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
12:15:57 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
12:16:47 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
12:18:32 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
12:19:34 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
12:34:11 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
13:41:37 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.7, GameServerCode: 0)
13:44:12 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.7, GameServerCode: 0)
16:49:58 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.7, GameServerCode: 0)
17:07:41 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.7, GameServerCode: 0)
18:40:12 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.7, GameServerCode: 0)
18:58:36 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.7, GameServerCode: 0)
19:57:14 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.7, GameServerCode: 0)
20:09:07 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.7, GameServerCode: 0)
21:42:24 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
21:43:01 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
22:21:30 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
22:24:03 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
22:24:26 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
22:26:38 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
22:45:21 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
23:01:13 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.100.127, GameServerCode: 0)
